Rowid,Country,Sourceyear,Base year - 2011-12,Sourcequarter,Price category,Private final consumption expenditure ( pfce ),Government final consumption expenditure ( gfce ),Gross fixed capital formation ( gfcf ),Change in stock,Valuables,Export of goods & services,Import of goods & services,Discrepancies,Gdp at market prices,Yearcode,Year,Quartercode,Quarter
1,India,2011-12 ,2011-12,Q1-2011-12 ,Current Prices,1196398,195528,682095,51754,55260,493075,626235,-4379,2043496,2011,"Financial Year (Apr - Mar), 2011",201101,"April - June, 2011"
2,India,2011-12 ,2011-12,Q1-2011-12 ,Constant Prices,1236604,204165,696955,52516,59927,506867,643806,-10365,2102863,2011,"Financial Year (Apr - Mar), 2011",201101,"April - June, 2011"
3,India,2012-13 ,2011-12,Q1-2012-13 ,Constant Prices,1225157,228823,763692,48569,69769,532776,677720,14158,2205223,2012,"Financial Year (Apr - Mar), 2012",201201,"April - June, 2012"
4,India,2012-13 ,2011-12,Q1-2012-13 ,Current Prices,1288287,240745,795727,51094,68570,555655,715867,28993,2313203,2012,"Financial Year (Apr - Mar), 2012",201201,"April - June, 2012"
5,India,2013-14 ,2011-12,Q1-2013-14 ,Constant Prices,1321379,272181,785525,31849,37117,550330,657363,6380,2347396,2013,"Financial Year (Apr - Mar), 2013",201301,"April - June, 2013"
6,India,2013-14 ,2011-12,Q1-2013-14 ,Current Prices,1480173,308485,847938,34870,38190,616226,768365,7857,2565374,2013,"Financial Year (Apr - Mar), 2013",201301,"April - June, 2013"
7,India,2014-15 ,2011-12,Q1-2014-15 ,Constant Prices,1417165,278564,808569,68881,49133,622485,663205,-45841,2535751,2014,"Financial Year (Apr - Mar), 2014",201401,"April - June, 2014"
8,India,2014-15 ,2011-12,Q1-2014-15 ,Current Prices,1715731,337037,928906,78435,53195,706896,800617,-105190,2914393,2014,"Financial Year (Apr - Mar), 2014",201401,"April - June, 2014"
9,India,2015-16 ,2011-12,Q1-2015-16 ,Constant Prices,1517933,291843,838302,58664,41485,582461,624902,22492,2728279,2015,"Financial Year (Apr - Mar), 2015",201501,"April - June, 2015"
10,India,2015-16 ,2011-12,Q1-2015-16 ,Current Prices,1914898,363606,961035,64910,46212,671294,757978,-20434,3243543,2015,"Financial Year (Apr - Mar), 2015",201501,"April - June, 2015"
11,India,2016-17 ,2011-12,Q1-2016-17 ,Constant Prices,1623633,298933,953527,30562,35095,603118,627453,47673,2965088,2016,"Financial Year (Apr - Mar), 2016",201601,"April - June, 2016"
12,India,2016-17 ,2011-12,Q1-2016-17 ,Current Prices,2120871,389046,1085915,34081,38439,704795,760292,26920,3639775,2016,"Financial Year (Apr - Mar), 2016",201601,"April - June, 2016"
13,India,2017-18 ,2011-12,Q1-2017-18 ,Constant Prices,1763225,363307,963709,47837,69319,626933,763828,75834,3146336,2017,"Financial Year (Apr - Mar), 2017",201701,"April - June, 2017"
14,India,2017-18 ,2011-12,Q1-2017-18 ,Current Prices,2358855,484811,1125165,54474,81416,758515,912523,58203,4008916,2017,"Financial Year (Apr - Mar), 2017",201701,"April - June, 2017"
15,India,2018-19 ,2011-12,Q1-2018-19 ,Constant Prices,1874398,387341,1102112,63762,46449,684204,804000,28035,3382301,2018,"Financial Year (Apr - Mar), 2018",201801,"April - June, 2018"
16,India,2018-19 ,2011-12,Q1-2018-19 ,Current Prices,2640304,544125,1336612,76507,53630,870374,1057122,104938,4569369,2018,"Financial Year (Apr - Mar), 2018",201801,"April - June, 2018"
17,India,2019-20 ,2011-12,Q1-2019-20 ,Constant Prices,2009312,377951,1197344,27081,43887,703240,877979,68121,3548958,2019,"Financial Year (Apr - Mar), 2019",201901,"April - June, 2019"
18,India,2019-20 ,2011-12,Q1-2019-20 ,Current Prices,2919710,546982,1501041,33706,48179,930665,1117375,79547,4942455,2019,"Financial Year (Apr - Mar), 2019",201901,"April - June, 2019"
19,India,2020-21 ,2011-12,Q1-2020-21 ,Constant Prices,1532170,429241,654479,-1995,3790,523643,517454,79724,2703598,2020,"Financial Year (Apr - Mar), 2020",202001,"April - June, 2020"
20,India,2020-21 ,2011-12,Q1-2020-21 ,Current Prices,2295743,648496,800027,-1970,4459,748963,671810,49535,3873443,2020,"Financial Year (Apr - Mar), 2020",202001,"April - June, 2020"
21,India,2021-22 ,2011-12,Q1-2021-22 ,Constant Prices,1749028,410314,1063775,43694,23428,735337,831305,58835,3253106,2021,"Financial Year (Apr - Mar), 2021",202101,"April - June, 2021"
22,India,2021-22 ,2011-12,Q1-2021-22 ,Current Prices,2840548,663286,1443884,49134,31869,1128353,1158487,149708,5148294,2021,"Financial Year (Apr - Mar), 2021",202101,"April - June, 2021"
23,India,2011-12 ,2011-12,Q2-2011-12 ,Current Prices,1119459,255853,722664,48668,65318,503937,636896,-49534,2029469,2011,"Financial Year (Apr - Mar), 2011",201102,"July - September, 2011"
24,India,2011-12 ,2011-12,Q2-2011-12 ,Constant Prices,1127293,257147,727749,49135,65430,507189,640634,-50440,2042870,2011,"Financial Year (Apr - Mar), 2011",201102,"July - September, 2011"
