srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
PUNJAB,2011-12,2011-12,Current Prices,85577.00,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2011-12,2011-12,Current Prices,53172.69,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011-12,2011-12,Constant Prices,55176.82,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011-12,2011-12,Constant Prices,90262.55,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011-12,2011-12,Current Prices,38497.00,2011,"Financial Year (Apr - Mar), 2011"
CHANDIGARH,2011-12,2011-12,Current Prices,158966.95,2011,"Financial Year (Apr - Mar), 2011"
CHANDIGARH,2011-12,2011-12,Constant Prices,158966.95,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011-12,2011-12,Constant Prices,57192.00,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011-12,2011-12,Current Prices,90262.55,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011-12,2011-12,Constant Prices,38497.44,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,2011-12,Current Prices,97912.42,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,2011-12,Constant Prices,97912.42,2011,"Financial Year (Apr - Mar), 2011"
TRIPURA,2011-12,2011-12,Current Prices,47155.00,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011-12,2011-12,Current Prices,100314.00,2011,"Financial Year (Apr - Mar), 2011"
TAMIL NADU,2011-12,2011-12,Constant Prices,93112.00,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,2011-12,Constant Prices,32002.00,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011-12,2011-12,Constant Prices,85577.00,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011-12,2011-12,Current Prices,41141.86,2011,"Financial Year (Apr - Mar), 2011"
ORISSA,2011-12,2011-12,Current Prices,48499.36,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011-12,2011-12,Constant Prices,21749.85,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,2011-12,Constant Prices,51543.00,2011,"Financial Year (Apr - Mar), 2011"
ORISSA,2011-12,2011-12,Constant Prices,48499.36,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011-12,2011-12,Constant Prices,100314.00,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011-12,2011-12,Current Prices,21749.85,2011,"Financial Year (Apr - Mar), 2011"
ARUNACHAL PRADESH,2011-12,2011-12,Current Prices,73540.00,2011,"Financial Year (Apr - Mar), 2011"
SIKKIM,2011-12,2011-12,Constant Prices,158667.00,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,2011-12,Constant Prices,41253.82,2011,"Financial Year (Apr - Mar), 2011"
SIKKIM,2011-12,2011-12,Current Prices,158667.00,2011,"Financial Year (Apr - Mar), 2011"
NAGALAND,2011-12,2011-12,Current Prices,53010.07,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,2011-12,Current Prices,41254.00,2011,"Financial Year (Apr - Mar), 2011"
NAGALAND,2011-12,2011-12,Constant Prices,53009.90,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,2011-12,Constant Prices,259444.00,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2011-12,2011-12,Constant Prices,119649.25,2011,"Financial Year (Apr - Mar), 2011"
MIZORAM,2011-12,2011-12,Current Prices,57654.03,2011,"Financial Year (Apr - Mar), 2011"
TAMIL NADU,2011-12,2011-12,Current Prices,93112.00,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,2011-12,Current Prices,259444.01,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,2011-12,Current Prices,51543.00,2011,"Financial Year (Apr - Mar), 2011"
MIZORAM,2011-12,2011-12,Constant Prices,57654.03,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,2011-12,Constant Prices,87480.62,2011,"Financial Year (Apr - Mar), 2011"
MEGHALAYA,2011-12,2011-12,Current Prices,60013.41,2011,"Financial Year (Apr - Mar), 2011"
MEGHALAYA,2011-12,2011-12,Constant Prices,60013.39,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,2011-12,Current Prices,87480.62,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2011-12,2011-12,Current Prices,185001.19,2011,"Financial Year (Apr - Mar), 2011"
ANDAMAN & NICOBAR ISLANDS,2011-12,2011-12,Constant Prices,89100.00,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2011-12,2011-12,Current Prices,39761.69,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2011-12,2011-12,Current Prices,57192.00,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,2011-12,Constant Prices,106084.70,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2011-12,2011-12,Constant Prices,39761.68,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,2011-12,Current Prices,106084.70,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,2011-12,Current Prices,99597.29,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2011-12,2011-12,Constant Prices,87720.98,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,2011-12,Constant Prices,99597.29,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2011-12,2011-12,Current Prices,87720.99,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2011-12,2011-12,Constant Prices,185001.19,2011,"Financial Year (Apr - Mar), 2011"
ARUNACHAL PRADESH,2011-12,2011-12,Constant Prices,73539.57,2011,"Financial Year (Apr - Mar), 2011"
ANDAMAN & NICOBAR ISLANDS,2011-12,2011-12,Current Prices,89100.00,2011,"Financial Year (Apr - Mar), 2011"
TRIPURA,2011-12,2011-12,Constant Prices,47155.00,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2011-12,2011-12,Constant Prices,53172.69,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,2011-12,Current Prices,32002.00,2011,"Financial Year (Apr - Mar), 2011"
CHHATTISGARH,2011-12,2011-12,Current Prices,55176.82,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011-12,2011-12,Constant Prices,41141.86,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,2012-13,Current Prices,110313.73,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2011-12,2012-13,Constant Prices,22201.33,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2011-12,2012-13,Current Prices,63658.00,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2011-12,2012-13,Current Prices,41230.32,2012,"Financial Year (Apr - Mar), 2012"
WEST BENGAL,2011-12,2012-13,Constant Prices,53157.00,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2011-12,2012-13,Current Prices,24487.15,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2011-12,2012-13,Current Prices,130548.35,2012,"Financial Year (Apr - Mar), 2012"
HARYANA,2011-12,2012-13,Current Prices,121268.82,2012,"Financial Year (Apr - Mar), 2012"
ORISSA,2011-12,2012-13,Constant Prices,51086.70,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2011-12,2012-13,Constant Prices,44175.81,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2011-12,2012-13,Constant Prices,38953.60,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2011-12,2012-13,Current Prices,61224.67,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2011-12,2012-13,Current Prices,82626.00,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2011-12,2012-13,Current Prices,47360.00,2012,"Financial Year (Apr - Mar), 2012"
UTTAR PRADESH,2011-12,2012-13,Current Prices,35812.12,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2011-12,2012-13,Current Prices,112092.37,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2011-12,2012-13,Constant Prices,55482.19,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2011-12,2012-13,Current Prices,105340.00,2012,"Financial Year (Apr - Mar), 2012"
GOA,2011-12,2012-13,Constant Prices,220019.33,2012,"Financial Year (Apr - Mar), 2012"
