srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
PUNJAB,2011-12,2011-12,Constant Price,226372.95,2011,"Financial Year (Apr - Mar), 2011"
TELANGANA,2011-12,2011-12,Constant Price,301755.34,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,2011-12,Constant Price,451189.0,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,2011-12,Current Price,247688.5893,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2011-12,2011-12,Constant Price,63779.2679,2011,"Financial Year (Apr - Mar), 2011"
ORISSA,2011-12,2011-12,Constant Price,193470.5645,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2011-12,2011-12,Constant Price,57219.1998,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,2011-12,Constant Price,247688.5893,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2011-12,2011-12,Current Price,11315.5858,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,2011-12,Constant Price,469124.4587,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011-12,2011-12,Current Price,223051.9798,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2011-12,2011-12,Constant Price,602975.7,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2011-12,2011-12,Current Price,57219.2033,2011,"Financial Year (Apr - Mar), 2011"
NAGALAND,2011-12,2011-12,Constant Price,10444.2719,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,2011-12,Constant Price,35047.5465,2011,"Financial Year (Apr - Mar), 2011"
NAGALAND,2011-12,2011-12,Current Price,10444.3057,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2011-12,2011-12,Constant Price,223051.9805,2011,"Financial Year (Apr - Mar), 2011"
MIZORAM,2011-12,2011-12,Constant Price,6575.53,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011-12,2011-12,Constant Price,121469.41,2011,"Financial Year (Apr - Mar), 2011"
TRIPURA,2011-12,2011-12,Constant Price,17006.17,2011,"Financial Year (Apr - Mar), 2011"
MEGHALAYA,2011-12,2011-12,Constant Price,17032.0936,2011,"Financial Year (Apr - Mar), 2011"
JAMMU & KASHMIR,2011-12,2011-12,Current Price,63779.2679,2011,"Financial Year (Apr - Mar), 2011"
ARUNACHAL PRADESH,2011-12,2011-12,Constant Price,10021.47,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2011-12,2011-12,Current Price,990643.6979,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,2011-12,Constant Price,310346.52,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2011-12,2011-12,Constant Price,274085.0113,2011,"Financial Year (Apr - Mar), 2011"
TELANGANA,2011-12,2011-12,Current Price,301755.34,2011,"Financial Year (Apr - Mar), 2011"
TAMIL NADU,2011-12,2011-12,Constant Price,616014.71,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2011-12,2011-12,Current Price,13153.56,2011,"Financial Year (Apr - Mar), 2011"
CHANDIGARH,2011-12,2011-12,Constant Price,16893.33,2011,"Financial Year (Apr - Mar), 2011"
GOA,2011-12,2011-12,Current Price,35047.5481,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,2011-12,Current Price,125595.47,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2011-12,2011-12,Constant Price,11315.5858,2011,"Financial Year (Apr - Mar), 2011"
