ITEM (GVA at basic prices from),2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
"Agriculture,forestry & fishing",,1.5,5.6,-0.2,0.6,6.8,6.6,2.1,6.2,4,4.6,4.7,0.7
Mining & quarrying,,0.6,0.2,9.7,10.1,9.8,-5.6,-0.8,-3,-8.2,6.3,1.9,8.1
Manufacturing,,5.5,5,7.9,13.1,7.9,7.5,5.4,-3,3.1,10,-2.2,8.5
"Electricity, gas, water supply & other utility services",,2.7,4.2,7.2,4.7,10,10.6,7.9,2.3,-4.2,10.3,9.4,7.5
Construction,,0.3,2.7,4.3,3.6,5.9,5.2,6.5,1.6,-4.6,19.9,9.4,10.7
"Trade, hotels, transport, communication and services related to broadcasting",,9.8,6.5,9.4,10.2,7.7,10.3,7.2,6,-19.9,15.2,12,6.5
"Financial , real estate & prof servs",,9.7,11.2,11,10.7,8.6,1.8,7,6.8,1.9,5.7,9.1,8.2
"Public Administration, defence and other services",,4.3,3.8,8.3,6.1,9.3,8.3,7.5,6.6,-7.6,7.5,8.9,7.7
GVA at basic prices,,5.4,6.1,7.2,8,8,6.2,5.8,3.9,-4.1,9.4,6.7,6.9
NVA at basic prices,,4.8,5.7,7.2,8.1,7.9,6,5.5,3.5,-5.7,9.8,6.7,6.9
GNI,,5.1,6.3,7.5,8,8.3,6.9,6.5,4,-6.2,9.9,6.8,7.6
NNI,,4.5,6,7.5,8,8.2,6.7,6.2,3.6,-7.9,10.4,6.8,7.7
Per capita income(Rs.),,3.3,4.6,6.2,6.7,6.9,5.5,5.2,2.5,-8.9,9.3,5.7,6.8
Net taxes on Products,,5.9,10.6,10.5,7.6,11.7,13.3,13.4,3.1,-22.4,13.6,10.6,15.5
GDP,,5.5,6.4,7.4,8,8.3,6.8,6.5,3.9,-5.8,9.7,7,7.6
