Item (GVA at basic prices from),2011-12 Q1,2011-12 Q2,2011-12 Q3,2011-12 Q4,2012-13 Q1,2012-13 Q2,2012-13 Q3,2012-13 Q4,2013-14 Q1,2013-14 Q2,2013-14 Q3,2013-14 Q4,2014-15 Q1,2014-15 Q2,2014-15 Q3,2014-15 Q4,2015-16 Q1,2015-16 Q2,2015-16 Q3,2015-16 Q4,2016-17 Q1,2016-17 Q2,2016-17 Q3,2016-17 Q4,2017-18 Q1,2017-18 Q2,2017-18 Q3,2017-18 Q4,2018-19 Q1,2018-19 Q2,2018-19 Q3,2018-19 Q4,2019-20 Q1,2019-20 Q2,2019-20 Q3,2019-20 Q4,2020-21 Q1,2020-21 Q2,2020-21 Q3,2020-21 Q4,2021-22 Q1,2021-22 Q2,2021-22 Q3,2021-22 Q4,2022-23 Q1,2022-23 Q2,2022-23 Q3,2022-23 Q4,2023-24 Q1,2023-24 Q2,2023-24 Q3
"Agriculture, forestry & fishing","3,36,109","2,69,074","5,00,966","3,95,798","3,41,199","2,74,362","5,06,049","4,02,678","3,54,450","2,89,365","5,39,360","4,26,023","3,62,653","2,99,494","5,22,894","4,20,673","3,71,273","3,07,806","5,11,553","4,25,514","3,89,610","3,26,769","5,49,199","4,60,426","4,13,332","3,48,962","5,81,219","4,96,510","4,33,154","3,64,398","5,89,160","4,91,886","4,51,612","3,83,768","6,23,983","5,34,963","4,68,502","4,00,210","6,52,913","5,52,587","4,89,820","4,23,817","6,73,640","5,82,829","5,02,859","4,33,439","7,08,618","6,27,336","5,20,607","4,40,463","7,02,792"
Mining & quarrying,"67,873","56,967","64,849","71,346","70,780","55,618","64,859","71,352","68,134","55,661","64,419","74,892","79,536","57,940","68,663","82,547","87,184","63,469","75,875","91,445","93,382","67,441","82,751","1,05,674","84,065","69,707","79,546","96,293","83,092","67,688","79,356","96,681","81,745","63,762","76,114","95,513","67,270","58,596","72,469","92,740","74,997","64,735","75,837","93,707","79,920","62,064","76,877","96,395","85,613","68,968","82,680"
Manufacturing,"3,56,022","3,33,104","3,33,674","3,87,184","3,58,340","3,73,953","3,55,778","3,98,803","3,83,076","3,87,587","3,77,186","4,12,860","4,22,169","4,23,757","3,89,833","4,48,178","4,66,224","4,72,855","4,50,360","5,14,411","5,12,045","5,08,974","4,87,553","5,46,193","5,11,989","5,53,424","5,37,525","6,06,490","5,65,139","5,83,154","5,63,759","6,16,940","5,65,388","5,62,325","5,44,150","5,87,843","3,97,368","6,14,000","6,14,651","7,03,141","5,96,515","6,47,821","6,15,673","7,01,024","6,09,518","6,01,225","5,86,257","7,07,664","6,40,090","6,87,598","6,53,992"
"Electricity, gas ,water supply& other utility services","46,302","46,466","46,623","47,277","48,480","47,290","48,004","47,861","49,464","50,076","49,637","50,423","53,900","54,880","53,221","52,046","55,232","57,848","55,200","55,878","62,529","62,355","60,850","60,763","69,161","69,359","66,571","67,559","74,425","76,048","72,708","70,967","79,722","77,536","70,576","72,963","67,514","74,606","71,184","74,910","78,876","83,054","75,734","80,303","91,145","88,379","82,288","86,162","94,034","97,686","89,670"
Construction,"1,86,777","1,90,701","1,95,724","2,04,133","1,89,866","1,86,137","1,94,069","2,09,978","1,98,716","1,94,458","1,98,470","2,09,127","2,09,579","2,04,912","2,06,558","2,14,180","2,18,253","2,05,790","2,16,449","2,24,843","2,34,541","2,22,844","2,32,427","2,26,632","2,35,401","2,26,647","2,43,991","2,58,266","2,51,354","2,39,219","2,60,988","2,75,228","2,60,990","2,41,820","2,58,984","2,81,636","1,43,771","2,26,576","2,88,855","3,36,168","2,68,829","2,63,794","3,01,090","3,59,819","3,08,318","2,81,869","3,29,590","3,86,479","3,34,666","3,19,979","3,60,743"
"Trade, hotels, transport, communication and services related to broadcasting","3,38,658","3,40,497","3,48,957","3,85,006","3,74,095","3,76,921","3,83,184","4,16,943","3,88,784","4,01,895","4,17,976","4,43,407","4,32,298","4,32,834","4,40,658","5,01,900","4,75,242","4,67,655","4,84,331","5,65,595","5,20,053","5,03,823","5,22,805","5,99,698","5,79,122","5,57,968","5,78,637","6,52,692","6,25,854","5,97,786","6,20,625","6,94,493","6,62,521","6,36,279","6,61,351","7,29,908","3,33,956","5,17,908","5,96,828","7,05,197","4,81,677","5,98,187","6,51,510","7,49,006","5,88,075","6,77,141","7,11,266","8,01,241","6,44,919","7,07,660","7,58,862"
"Financial, real estate & professional services","4,04,493","4,10,626","3,40,343","3,75,416","4,42,487","4,52,821","3,77,983","4,06,740","4,94,883","5,24,246","4,09,823","4,38,455","5,40,067","5,92,769","4,59,478","4,81,401","5,94,978","6,69,973","5,06,288","5,23,546","6,75,149","7,45,019","5,32,370","5,40,429","6,94,096","7,40,833","5,50,115","5,52,146","7,35,941","7,91,142","5,86,811","6,00,328","7,97,125","8,57,419","6,16,488","6,27,211","7,88,545","8,12,791","6,75,019","6,77,776","8,17,426","8,76,146","7,12,147","7,17,128","9,03,194","9,52,433","7,66,916","7,82,931","10,16,891","10,11,651","8,20,499"
"Public administration, defence and Other Services","2,32,898","2,65,771","2,42,760","2,84,553","2,49,343","2,80,806","2,47,602","2,91,896","2,68,723","2,90,609","2,58,070","2,93,393","2,76,954","3,12,770","3,15,706","2,97,685","2,91,805","3,32,828","3,36,948","3,15,216","3,11,418","3,54,769","3,67,659","3,62,136","3,50,940","3,79,770","3,95,191","3,86,642","3,78,185","4,08,118","4,19,690","4,19,484","3,93,926","4,36,867","4,49,141","4,52,470","3,40,827","3,83,685","4,26,956","4,49,827","3,54,409","4,39,493","4,63,499","4,64,297","4,37,997","4,71,555","4,79,822","4,85,929","4,74,008","5,07,947","5,15,724"
GVA at Basic Price,"19,69,132","19,13,207","20,73,896","21,50,712","20,74,589","20,47,909","21,77,528","22,46,251","22,06,230","21,93,897","23,14,941","23,48,579","23,77,154","23,79,356","24,57,010","24,98,612","25,60,191","25,78,225","26,37,004","27,16,448","27,98,726","27,91,994","28,35,614","29,01,951","29,38,107","29,46,670","30,32,795","31,16,598","31,47,143","31,27,553","31,93,097","32,66,007","32,93,030","32,59,776","33,00,788","33,82,507","26,07,752","30,88,372","33,98,875","35,92,345","31,62,549","33,97,048","35,69,131","37,48,113","35,21,025","35,68,105","37,41,633","39,74,137","38,10,828","38,41,953","39,84,960"
GDP,"21,02,863","20,42,870","22,25,135","23,65,461","22,05,223","21,95,946","23,44,767","24,67,082","23,47,396","23,57,079","24,97,997","25,98,898","25,35,751","25,62,242","26,45,947","27,83,733","27,28,279","27,68,087","28,36,387","30,36,738","29,65,088","30,35,756","30,79,622","32,27,728","31,46,336","31,97,195","32,84,992","35,16,058","33,82,301","34,03,644","34,89,761","37,17,210","35,54,642","35,49,945","36,03,375","38,26,679","27,32,306","33,42,656","36,67,338","39,52,568","33,50,730","36,72,438","38,70,108","41,28,570","37,79,954","38,72,858","40,34,890","43,83,726","40,90,545","41,85,636","43,72,011"
