Item (GVA at basic prices from),2011-12 Q1,2011-12 Q2,2011-12 Q3,2011-12 Q4,2012-13 Q1,2012-13 Q2,2012-13 Q3,2012-13 Q4,2013-14 Q1,2013-14 Q2,2013-14 Q3,2013-14 Q4,2014-15 Q1,2014-15 Q2,2014-15 Q3,2014-15 Q4,2015-16 Q1,2015-16 Q2,2015-16 Q3,2015-16 Q4,2016-17 Q1,2016-17 Q2,2016-17 Q3,2016-17 Q4,2017-18 Q1,2017-18 Q2,2017-18 Q3,2017-18 Q4,2018-19 Q1,2018-19 Q2,2018-19 Q3,2018-19 Q4,2019-20 Q1,2019-20 Q2,2019-20 Q3,2019-20 Q4,2020-21 Q1,2020-21 Q2,2020-21 Q3,2020-21 Q4,2021-22 Q1,2021-22 Q2,2021-22 Q3,2021-22 Q4,2022-23 Q1,2022-23 Q2,2022-23 Q3,2022-23 Q4,2023-24 Q1,2023-24 Q2,2023-24 Q3
"Agriculture, forestry & fishing",,,,,1.5,2,1,1.7,3.9,5.5,6.6,5.8,2.3,3.5,-3.1,-1.3,2.4,2.8,-2.2,1.2,4.9,6.2,7.4,8.2,6.1,6.8,5.8,7.8,4.8,4.4,1.4,-0.9,4.3,5.3,5.9,8.8,3.7,4.3,4.6,3.3,4.6,5.9,3.2,5.5,2.7,2.3,5.2,7.6,3.5,1.6,-0.8
Mining & quarrying,,,,,4.3,-2.4,0,0,-3.7,0.1,-0.7,5,16.7,4.1,6.6,10.2,9.6,9.5,10.5,10.8,7.1,6.3,9.1,15.6,-10,3.4,-3.9,-8.9,-1.2,-2.9,-0.2,0.4,-1.6,-5.8,-4.1,-1.2,-17.7,-8.1,-4.8,-2.9,11.5,10.5,4.6,1,6.6,-4.1,1.4,2.9,7.1,11.1,7.5
Manufacturing,,,,,0.7,12.3,6.6,3,6.9,3.6,6,3.5,10.2,9.3,3.4,8.6,10.4,11.6,15.5,14.8,9.8,7.6,8.3,6.2,-0.01,8.7,10.2,11,10.4,5.4,4.9,1.7,0,-3.6,-3.5,-4.7,-29.7,9.2,13,19.6,50.1,5.5,0.2,-0.3,2.2,-7.2,-4.8,0.9,5,14.4,11.6
"Electricity, gas ,water supply& other utility services",,,,,4.7,1.8,3,1.2,2,5.9,3.4,5.4,9,9.6,7.2,3.2,2.5,5.4,3.7,7.4,13.2,7.8,10.2,8.7,10.6,11.2,9.4,11.2,7.6,9.6,9.2,5,7.1,2,-2.9,2.8,-15.3,-3.8,0.9,2.7,16.8,11.3,6.4,7.2,15.6,6.4,8.7,7.3,3.2,10.5,9
Construction,,,,,1.7,-2.4,-0.8,2.9,4.7,4.5,2.3,-0.4,5.5,5.4,4.1,2.4,4.1,0.4,4.8,5,7.5,8.3,7.4,0.8,0.4,1.7,5,14,6.8,5.5,7,6.6,3.8,1.1,-0.77,2.3,-44.9,-6.3,11.5,19.4,87,16.4,4.2,7,14.7,6.9,9.5,7.4,8.5,13.5,9.5
"Trade, hotels, transport, communication and services related to broadcasting",,,,,10.5,10.7,9.8,8.3,3.9,6.6,9.1,6.3,11.2,7.7,5.4,13.2,9.9,8,9.9,12.7,9.4,7.7,7.9,6,11.4,10.7,10.7,8.8,8.1,7.1,7.3,6.4,5.9,6.4,6.6,5.1,-49.6,-18.6,-9.8,-3.4,44.2,15.5,9.2,6.2,22.1,13.2,9.2,7,9.7,4.5,6.7
"Financial, real estate & professional services",,,,,9.4,10.3,11.1,8.3,11.8,15.8,8.4,7.8,9.1,13.1,12.1,9.8,10.2,13,10.2,8.8,13.5,11.2,5.2,3.2,2.8,-0.6,3.3,2.2,6,6.8,6.7,8.7,8.3,8.4,5.1,4.5,-1.1,-5.2,9.5,8.1,3.7,7.8,5.5,5.8,10.5,8.7,7.7,9.2,12.6,6.2,7
"Public administration, defence and Other Services",,,,,7.1,5.7,2,2.6,7.8,3.5,4.2,0.5,3.1,7.6,22.3,1.5,5.4,6.4,6.7,5.9,6.7,6.6,9.1,14.9,12.7,7,7.5,6.8,7.8,7.5,6.2,8.5,4.2,7,7,7.9,-13.5,-12.2,-4.9,-0.6,4,14.5,8.6,3.2,23.6,7.3,3.5,4.7,8.2,7.7,7.5
GVA at Basic Price,,,,,5.4,7,5,4.4,6.3,7.1,6.3,4.6,7.7,8.5,6.1,6.4,7.7,8.4,7.3,8.7,9.3,8.3,7.5,6.8,5,5.5,7,7.4,7.1,6.1,5.3,4.8,4.6,4.2,3.4,3.6,-20.8,-5.3,3,6.2,21.3,10,5,4.3,11.3,5,4.8,6,8.2,7.7,6.5
GDP,,,,,4.9,7.5,5.4,4.3,6.4,7.3,6.5,5.3,8,8.7,5.9,7.1,7.6,8,7.2,9.1,8.7,9.7,8.6,6.3,6.1,5.3,6.7,8.9,7.5,6.5,6.2,5.7,5.1,4.3,3.3,2.9,-23.1,-5.8,1.8,3.3,22.6,9.9,5.5,4.5,12.8,5.5,4.3,6.2,8.2,8.1,8.4
