ITEM (GVA at basic prices from),2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
"Agriculture,forestry & fishing",,11.5,15,8.7,6.4,13.1,12.4,7.1,11.2,10,10.6,9.4,4.6
Mining & quarrying,,9.5,3.5,4.3,-4.7,11.2,2.8,12.4,-5.5,-9.2,35.5,12.6,6.6
Manufacturing,,11.5,8.9,9.6,14.3,8.7,10,9.6,-3.8,3.6,21,4.2,6.7
"Electricity, gas, water supply & other utility services",,15.4,20.8,8.5,18.7,6.2,19.7,5.6,11.9,-0.4,15.4,4.6,7.9
Construction,,9.3,8.5,6.3,1.2,9.1,11.1,12.6,2,-1.4,35,18.7,10.1
"Trade, hotels, transport, communication and services related to broadcasting",,17.8,12.6,12.4,8.9,10.7,13.4,11.2,8.6,-17.7,28.4,20,6.3
"Financial , real estate & prof servs",,16.1,16.5,14.2,11.1,10.9,7.4,12.9,10,3.8,15.3,18.8,9.7
"Public Administration, defence and other services",,13.4,11.9,14.6,11.3,14.4,12.7,13.1,11.9,-3,13.1,15.5,13.5
GVA at basic prices,,13.5,12.6,11,9.3,11.1,11,10.8,7,-0.9,18.8,14,8.2
NVA at basic prices,,13.2,12.6,10.9,9.5,11.2,11,10.6,6.8,-2.1,19.5,13.4,8.2
GNI,,13.5,12.9,11.1,10.5,11.8,11.1,10.6,6.5,-1.6,19.1,14,9
NNI,,13.2,12.9,10.9,10.8,12,11.1,10.4,6.2,-2.8,19.7,13.5,9.1
Per capita income(Rs.),,11.9,11.5,9.5,9.4,10.6,9.9,9.3,5.1,-3.9,18.6,12.3,8.1
Net taxes on Products,,17.8,17.4,10.7,24.3,19.1,11.1,8.8,-0.1,-4.6,19.4,16.8,18.4
GDP,,13.8,13,11,10.5,11.8,11,10.6,6.4,-1.2,18.9,14.2,9.1
