State / UT,Area (km2),"%
total"
Andaman and Nicobar Islands,"8,249",0.251
Andhra Pradesh,"1,62,975",4.957
Arunachal Pradesh,"83,743",2.548
Assam,"78,438",2.386
Bihar,"94,163",2.864
Chandigarh,114,0.003
Chhattisgarh,"1,35,192",4.112
Dadra and Nagar Haveli and Daman and Diu,603,0.018
Delhi,"1,484",0.045
Goa,"3,702",0.112
Gujarat,"1,96,024",5.962
Haryana,"44,212",1.344
Himachal Pradesh,"55,673",1.693
Jammu and Kashmir,"42,241",1.285
Jharkhand,"79,716",2.424
Karnataka,"1,91,791",5.833
Kerala,"38,863",1.182
Ladakh,"59,146",1.8
Lakshadweep,32,0.001
Madhya Pradesh,"3,08,252",9.376
Maharashtra,"3,07,713",9.359
Manipur,"22,327",0.68
Meghalaya,"22,429",0.682
Mizoram,"21,081",0.642
Nagaland,"16,579",0.505
Odisha,"1,55,707",4.736
Puducherry,479,0.015
Punjab,"50,362",1.531
Rajasthan,"3,42,239",10.414
Sikkim,"7,096",0.217
Tamil Nadu,"1,30,058",3.956
Telangana,"1,12,077",3.409
Tripura,"10,491",0.32
Uttar Pradesh,"2,40,928",7.328
Uttarakhand,"53,483",1.626
West Bengal,"88,752",2.7
India,"32,87,263",100
