State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,379402,380629,407115,444564,498606,540212,594737,626614,649810,659678,722727,764685,820894
Arunachal Pradesh,11063,11299,12339,14383,14240,14893,15572,16668,19140,18435,19707,21085,NA
Assam,143175,147342,154525,165212,191109,202081,219919,231040,240707,247819,278835,300799,318559
Bihar,247144,256851,269650,279482,296488,318797,344028,381383,398329,368733,399930,442473,NA
Chhattisgarh,158074,165977,182580,185813,190584,213705,220136,244579,251549,251192,280609,302119,321945
Goa,42367,35850,31568,40116,46091,51249,52653,53063,54812,52534,55342,59867,NA
Gujarat,615606,682650,734284,811428,894465,981342,1086570,1183020,1265277,1241118,1365922,1475629,NA
Haryana,297539,320912,347507,370535,413405,456709,482036,532996,545124,496087,544317,587198,634027
Himachal Pradesh,72720,77384,82847,89060,96274,103055,109406,116414,121227,115958,124770,133372,142800
Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,231755,219483,243348,259800,NA
Karnataka,606010,643033,704466,748429,831322,941774,1019724,1085101,1151393,1124942,1235377,1335052,1423229
Kerala,364048,387693,402781,419956,451210,485302,516190,554228,559194,511703,578057,616189,NA
Madhya Pradesh,315562,351683,365134,383944,418736,470669,497102,543272,567525,541016,584470,622908,660363
Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1888706,1957381,2004663,1858370,2027971,NA,NA
Manipur,12915,12993,14115,15245,16424,17082,18751,18262,19187,18073,20515,NA,NA
Meghalaya,19918,20354,20726,20140,20638,21730,22564,23719,24923,22967,24267,25209,26524
Mizoram,7259,7778,9038,11261,12324,13595,14758,16100,17884,16427,18494,NA,NA
Nagaland,12177,12868,13793,14399,14660,15650,16440,16868,18477,17673,17336,18993,NA
Odisha,230987,243363,265892,270665,292229,337348,361117,386733,397530,389125,430541,464574,503871
Punjab,266628,280823,299450,312125,330052,352721,375406,397019,413295,407264,434261,462053,493283
Rajasthan,434837,454564,486230,521509,563340,596746,628020,643278,678316,665533,727805,784655,842621
Sikkim,11165,11421,12114,13071,14370,15397,17673,18625,19492,19557,20728,22144,NA
Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1243836,1244650,1343287,1453321,1572601
Telangana,359434,370113,389957,416332,464542,507946,557410,608401,640968,602435,669229,715157,767936
Tripura,19208,20873,22819,26965,26787,30538,33093,36754,38063,36404,39487,42997,NA
Uttar Pradesh,724050,758205,802070,834432,908241,1011500,1056399,1097353,1141630,1092787,1200093,1318027,1423358
Uttarakhand,115328,123710,134182,141278,152699,167703,180956,186083,189740,166786,184274,198341,213378
West Bengal,520485,542191,558535,574364,609545,653416,694981,738920,761794,704045,787439,839805,904088
Andaman & Nicobar Islands,3978,4156,4488,4742,5092,5752,6464,6867,7266,6715,7172,NA,NA
Chandigarh,18768,20285,22105,22870,24932,26917,28480,29866,31679,28596,30587,33879,NA
Delhi,343798,366628,392908,428355,475623,511765,542015,565327,586168,533634,580396,625981,672247
Jammu & Kashmir-UT*,78256,80767,85102,82372,97001,100203,106624,115062,113919,112400,119174,129573,139171
Puducherry,16818,17310,19170,18207,19060,20474,22318,26209,26374,24137,27131,28849,NA
