State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,0.32,6.96,9.2,12.16,8.34,10.09,5.36,3.7,1.52,9.56,5.81,7.35
Arunachal Pradesh,2.14,9.21,16.56,-0.99,4.58,4.56,7.04,14.83,-3.69,6.9,6.99,NA
Assam,2.91,4.88,6.92,15.67,5.74,8.83,5.06,4.18,2.95,12.52,7.88,5.9
Bihar,3.93,4.98,3.65,6.08,7.52,7.91,10.86,4.44,-7.43,8.46,10.64,NA
Chhattisgarh,5,10,1.77,2.57,12.13,3.01,11.1,2.85,-0.14,11.71,7.67,6.56
Goa,-15.38,-11.94,27.08,14.89,11.19,2.74,0.78,3.3,-4.16,5.35,8.18,NA
Gujarat,10.89,7.56,10.51,10.23,9.71,10.72,8.88,6.95,-1.91,10.06,8.03,NA
Haryana,7.86,8.29,6.63,11.57,10.48,5.55,10.57,2.28,-9,9.72,7.88,7.97
Himachal Pradesh,6.41,7.06,7.5,8.1,7.04,6.16,6.41,4.13,-4.35,7.6,6.89,7.07
Jharkhand,8.17,1.57,12.49,-6.25,10.46,9.01,8.87,1.08,-5.3,10.87,6.76,NA
Karnataka,6.11,9.55,6.24,11.08,13.29,8.28,6.41,6.11,-2.3,9.82,8.07,6.6
Kerala,6.5,3.89,4.26,7.44,7.56,6.36,7.37,0.9,-8.49,12.97,6.6,NA
Madhya Pradesh,11.45,3.82,5.15,9.06,12.4,5.62,9.29,4.46,-4.67,8.03,6.58,6.01
Maharashtra,6.06,6.9,6.31,7.2,9.23,4.52,3.64,2.42,-7.3,9.13,NA,NA
Manipur,0.61,8.64,8,7.73,4.01,9.77,-2.61,5.06,-5.8,13.51,NA,NA
Meghalaya,2.19,1.83,-2.82,2.47,5.29,3.84,5.12,5.08,-7.85,5.66,3.88,5.22
Mizoram,7.15,16.21,24.59,9.44,10.32,8.55,9.1,11.08,-8.15,12.58,NA,NA
Nagaland,5.68,7.19,4.39,1.82,6.75,5.05,2.6,9.54,-4.35,-1.91,9.56,NA
Odisha,5.36,9.26,1.8,7.97,15.44,7.05,7.09,2.79,-2.11,10.64,7.9,8.46
Punjab,5.32,6.63,4.23,5.74,6.87,6.43,5.76,4.1,-1.46,6.63,6.4,6.76
Rajasthan,4.54,6.97,7.26,8.02,5.93,5.24,2.43,5.45,-1.88,9.36,7.81,7.39
Sikkim,2.29,6.07,7.9,9.93,7.15,14.78,5.38,4.66,0.33,5.99,6.83,NA
Tamil Nadu,5.37,7.6,4.92,8.24,7.15,8.59,7.01,3.25,0.07,7.92,8.19,8.21
Telangana,2.97,5.36,6.76,11.58,9.34,9.74,9.15,5.35,-6.01,11.09,6.86,7.38
Tripura,8.67,9.32,18.17,-0.66,14,8.37,11.06,3.56,-4.36,8.47,8.89,NA
Uttar Pradesh,4.72,5.79,4.03,8.85,11.37,4.44,3.88,4.03,-4.28,9.82,9.83,7.99
Uttarakhand,7.27,8.47,5.29,8.08,9.83,7.9,2.83,1.97,-12.1,10.49,7.63,7.58
West Bengal,4.17,3.01,2.83,6.13,7.2,6.36,6.32,3.1,-7.58,11.85,6.65,7.65
Andaman & Nicobar Islands,4.48,7.99,5.64,7.39,12.96,12.39,6.23,5.81,-7.58,6.81,NA,NA
Chandigarh,8.08,8.97,3.46,9.02,7.96,5.8,4.87,6.07,-9.73,6.96,10.76,NA
Delhi,6.64,7.17,9.02,11.03,7.6,5.91,4.3,3.69,-8.96,8.76,7.85,7.39
Jammu & Kashmir-UT*,3.21,5.37,-3.21,17.76,3.3,6.41,7.91,-0.99,-1.33,6.03,8.73,7.41
Puducherry,2.93,10.74,-5.03,4.69,7.42,9,17.44,0.63,-8.48,12.41,6.33,NA
