State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,339996,341335,360239,397064,446997,477566,526626,558862,571096,576447,636219,672455,723343
Arunachal Pradesh,10229,10399,11226,13082,12889,13395,13921,14896,17087,16159,17196,18273,NA
Assam,129354,132518,138725,146425,167629,179632,195262,204627,212315,219593,246203,264089,288842
Bihar,228497,236933,246915,255739,269200,289265,312605,345545,359241,328117,356057,394114,NA
Chhattisgarh,142273,148760,163494,165354,168879,187541,194073,217578,222398,218499,245947,263839,279803
Goa,38009,32453,27971,36042,41929,46371,47077,47425,48509,45804,47901,52426,NA
Gujarat,532809,596659,641489,705629,774775,843930,946511,1034399,1110179,1084653,1198007,1301070,NA
Haryana,271152,289756,314931,333359,372700,412055,434407,478384,488490,437351,480417,519135,561368
Himachal Pradesh,60536,64519,69398,74553,80563,88112,93525,99221,103310,97412,105500,112633,120733
Jharkhand,137383,149526,150609,170568,158231,176363,191573,208701,209913,196845,219234,235685,NA
Karnataka,554952,586552,639940,671284,749943,851394,915657,977301,1034380,997226,1098510,1187557,1263925
Kerala,328021,348616,364707,382134,411150,443615,473182,510787,515453,464052,528323,564164,NA
Madhya Pradesh,282371,306853,322598,339247,370716,419465,441956,482398,501137,471343,512117,546005,579234
Maharashtra,1126595,1189711,1267551,1345341,1452513,1596121,1661065,1712999,1746618,1586334,1731189,NA,NA
Manipur,11501,11515,12519,13615,14635,15201,16870,16193,16945,15620,17810,NA,NA
Meghalaya,18028,18323,18397,17893,18330,19295,19964,20968,21997,19990,21096,21905,23063
Mizoram,6404,6836,7831,9960,10948,12029,13779,14116,15663,14064,15847,NA,NA
Nagaland,10554,11163,11923,12406,12600,13488,14178,15055,15853,14965,13222,14307,NA
Odisha,204226,216301,233122,235931,253192,293348,316192,338339,345645,334156,369904,403936,443233
Punjab,239227,251813,267515,278485,294895,315783,335057,353942,367558,355205,376909,399400,424857
Rajasthan,395331,409802,434292,465408,501922,529650,557618,568452,598220,578777,637616,686211,737042
Sikkim,9742,9970,10590,11437,12484,13416,15204,15889,16588,15964,16764,17832,NA
Tamil Nadu,674478,709343,750416,791915,862437,922084,1000308,1071602,1099402,1094122,1182919,1279878,1384921
Telangana,325139,334205,349593,372897,416892,455731,498145,544441,572460,529179,591472,633091,679552
Tripura,17419,18857,20623,24407,23745,27204,29505,32703,33695,32053,34851,37917,NA
Uttar Pradesh,645132,673552,707469,729686,792049,888453,922458,949184,980279,918030,1014396,1116011,1206156
Uttarakhand,101960,109528,117778,125702,136144,150303,162205,166519,169175,144988,160921,173280,186484
West Bengal,473205,492901,503990,515702,546988,584911,623787,659126,676434,615143,692592,735049,791144
Andaman & Nicobar Islands,3404,3558,3811,4151,4483,5091,5750,6108,6430,5880,6558,NA,NA
Chandigarh,16930,18305,19813,20353,22058,23842,25289,26654,28414,25143,26985,29957,NA
Delhi,314650,334193,356528,387639,431730,461592,487631,506332,522031,465770,507595,548826,590836
Jammu & Kashmir-UT*,65319,67316,70522,67154,80602,82640,87591,93072,90767,87592,92690,100849,108830
Puducherry,15160,15507,17239,16055,17025,18284,20024,23693,23572,21226,24136,25652,NA
