State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,0.39,5.54,10.22,12.58,6.84,10.27,6.12,2.19,0.94,10.37,5.7,7.57
Arunachal Pradesh,1.66,7.96,16.52,-1.47,3.93,3.93,7,14.71,-5.43,6.42,6.26,NA
Assam,2.45,4.68,5.55,14.48,7.16,8.7,4.8,3.76,3.43,12.12,7.26,9.37
Bihar,3.69,4.21,3.57,5.26,7.45,8.07,10.54,3.96,-8.66,8.52,10.69,NA
Chhattisgarh,4.56,9.9,1.14,2.13,11.05,3.48,12.11,2.22,-1.75,12.56,7.27,6.05
Goa,-14.62,-13.81,28.85,16.34,10.59,1.52,0.74,2.29,-5.58,4.58,9.44,NA
Gujarat,11.98,7.51,10,9.8,8.93,12.16,9.29,7.33,-2.3,10.45,8.6,NA
Haryana,6.86,8.69,5.85,11.8,10.56,5.42,10.12,2.11,-10.47,9.85,8.06,8.14
Himachal Pradesh,6.58,7.56,7.43,8.06,9.37,6.14,6.09,4.12,-5.71,8.3,6.76,7.19
Jharkhand,8.84,0.72,13.25,-7.23,11.46,8.62,8.94,0.58,-6.23,11.37,7.5,NA
Karnataka,5.69,9.1,4.9,11.72,13.53,7.55,6.73,5.84,-3.59,10.16,8.11,6.43
Kerala,6.28,4.62,4.78,7.59,7.9,6.66,7.95,0.91,-9.97,13.85,6.78,NA
Madhya Pradesh,8.67,5.13,5.16,9.28,13.15,5.36,9.15,3.88,-5.95,8.65,6.62,6.09
Maharashtra,5.6,6.54,6.14,7.97,9.89,4.07,3.13,1.96,-9.18,9.13,NA,NA
Manipur,0.12,8.72,8.75,7.49,3.87,10.98,-4.02,4.64,-7.82,14.02,NA,NA
Meghalaya,1.64,0.4,-2.74,2.44,5.26,3.47,5.03,4.91,-9.12,5.53,3.83,5.29
Mizoram,6.75,14.55,27.18,9.92,9.88,14.55,2.44,10.96,-10.21,12.68,NA,NA
Nagaland,5.77,6.81,4.05,1.56,7.05,5.11,6.19,5.3,-5.6,-11.65,8.2,NA
Odisha,5.91,7.78,1.2,7.32,15.86,7.79,7,2.16,-3.32,10.7,9.2,9.73
Punjab,5.26,6.24,4.1,5.89,7.08,6.1,5.64,3.85,-3.36,6.11,5.97,6.37
Rajasthan,3.66,5.98,7.16,7.85,5.52,5.28,1.94,5.24,-3.25,10.17,7.62,7.41
Sikkim,2.34,6.21,8,9.16,7.46,13.33,4.5,4.4,-3.76,5.01,6.37,NA
Tamil Nadu,5.17,5.79,5.53,8.91,6.92,8.48,7.13,2.59,-0.48,8.12,8.2,8.21
Telangana,2.79,4.6,6.67,11.8,9.32,9.31,9.29,5.15,-7.56,11.77,7.04,7.34
Tripura,8.26,9.36,18.35,-2.71,14.56,8.46,10.84,3.03,-4.87,8.73,8.8,NA
Uttar Pradesh,4.41,5.04,3.14,8.55,12.17,3.83,2.9,3.28,-6.35,10.5,10.02,8.08
Uttarakhand,7.42,7.53,6.73,8.31,10.4,7.92,2.66,1.6,-14.3,10.99,7.68,7.62
West Bengal,4.16,2.25,2.32,6.07,6.93,6.65,5.67,2.63,-9.06,12.59,6.13,7.63
Andaman & Nicobar Islands,4.52,7.13,8.92,8,13.55,12.95,6.23,5.28,-8.56,11.54,NA,NA
Chandigarh,8.12,8.24,2.72,8.38,8.09,6.07,5.4,6.6,-11.51,7.32,11.02,NA
Delhi,6.21,6.68,8.73,11.37,6.92,5.64,3.84,3.1,-10.78,8.98,8.12,7.65
Jammu & Kashmir-UT*,3.06,4.76,-4.78,20.03,2.53,5.99,6.26,-2.48,-3.5,5.82,8.8,7.91
Puducherry,2.29,11.16,-6.87,6.04,7.4,9.52,18.32,-0.51,-9.95,13.71,6.28,NA
