State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,69000,68865,72254,79174,88609,94115,103177,108853,110587,110971,121762,126690,135806
Arunachal Pradesh,73540,73960,79004,91034,88768,91311,94000,99570,113081,105892,111661,117509,NA
Assam,41142,41609,43002,44809,50642,53575,57835,59943,61519,62944,69867,74239,80440
Bihar,21750,22201,22776,23223,24064,25455,26719,29092,29798,26820,28679,31280,NA
Chhattisgarh,55177,56777,61409,61122,61433,67139,68374,75438,76827,74489,82830,87838,92101
Goa,259444,220019,188358,241081,278601,305875,308296,308753,313973,294562,306471,333709,NA
Gujarat,87481,96683,102589,111370,120683,129738,143604,154887,164060,156285,170440,182865,NA
Haryana,106085,111780,119791,125032,137833,150259,156200,169604,170765,150754,163285,173973,185490
Himachal Pradesh,87721,92672,98816,105241,112723,122208,129303,136292,140999,132102,142279,151124,161192
Jharkhand,41254,44176,43779,48781,44524,48826,52277,56133,55658,51464,56559,60033,NA
Karnataka,90263,94375,101858,105697,116812,131186,140747,149024,156478,149673,163732,175895,186038
Kerala,97912,103551,107846,112444,120387,129251,137181,147347,147951,132531,150128,159505,NA
Madhya Pradesh,38497,41142,42548,44027,47351,52782,54824,59005,60452,56086,60166,63379,66441
Maharashtra,99597,104008,109597,115058,122889,133686,137808,140782,142211,127970,138490,NA,NA
Manipur,39762,38954,41441,44101,46389,47151,51211,48106,49267,44449,49602,NA,NA
Meghalaya,59794,60114,59729,57478,58284,60752,62231,64716,67229,60522,63295,65114,67953
Mizoram,57654,60261,67594,85056,91845,99089,117272,119022,130741,116229,129785,NA,NA
Nagaland,53010,55482,58619,60372,60663,64259,66813,70218,73361,68272,59747,64070,NA
Odisha,48387,50769,54209,54361,57806,66416,71032,75421,76462,73357,80651,87515,95430
Punjab,85577,88915,93238,95807,100141,105848,110857,115592,118487,113025,118381,123823,130012
Rajasthan,57192,58441,61053,64496,68565,71324,73529,73975,76840,73392,79912,85072,90397
Sikkim,158667,160553,168897,180675,195066,207355,232483,240743,248691,237212,246526,259938,NA
Tamil Nadu,93112,97257,102191,107117,115875,123206,133029,141844,144845,143482,154557,166727,179876
Telangana,91121,92732,96039,101424,112267,121512,131503,146777,153286,140743,156408,166607,177982
Tripura,47155,50501,54645,63992,61612,69860,75020,82313,83985,79123,85210,91853,NA
Uttar Pradesh,32002,32908,34044,34583,36973,40847,41771,42333,43061,39971,43667,47552,50875
Uttarakhand,100314,106359,112900,118979,127249,138784,148011,150179,150820,127788,140322,149547,159306
West Bengal,51543,53157,53815,54520,57255,60618,64007,68195,69548,62852,70382,74334,79622
Andaman & Nicobar Islands,89100,92644,98735,106711,114660,129532,145562,154233,161564,146995,163138,NA,NA
Chandigarh,158967,169336,180615,182867,195205,208231,218201,227231,239373,209180,222096,244350,NA
Delhi,185001,192220,200702,213669,233115,244255,252960,257597,260559,228162,244024,258941,273687
Jammu & Kashmir-UT*,51775,52821,54783,51649,61388,62398,65621,69183,68437,65539,68838,74362,79671
Puducherry,119649,119196,129127,117102,121000,126532,134934,155466,153166,136327,151516,157375,NA
