State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,-0.2,4.92,9.58,11.92,6.21,9.63,5.5,1.59,0.35,9.72,4.05,7.2
Arunachal Pradesh,0.57,6.82,15.23,-2.49,2.87,2.94,5.93,13.57,-6.36,5.45,5.24,NA
Assam,1.14,3.35,4.2,13.02,5.79,7.95,3.64,2.63,2.32,11,6.26,8.35
Bihar,2.08,2.59,1.96,3.62,5.78,4.97,8.88,2.43,-9.99,6.93,9.07,NA
Chhattisgarh,2.9,8.16,-0.47,0.51,9.29,1.84,10.33,1.84,-3.04,11.2,6.05,4.85
Goa,-15.2,-14.39,27.99,15.56,9.79,0.79,0.15,1.69,-6.18,4.04,8.89,NA
Gujarat,10.52,6.11,8.56,8.36,7.5,10.69,7.86,5.92,-4.74,9.06,7.29,NA
Haryana,5.37,7.17,4.37,10.24,9.02,3.95,8.58,0.68,-11.72,8.31,6.55,6.62
Himachal Pradesh,5.64,6.63,6.5,7.11,8.41,5.81,5.41,3.45,-6.31,7.7,6.22,6.66
Jharkhand,7.08,-0.9,11.43,-8.73,9.66,7.07,7.38,-0.85,-7.53,9.9,6.14,NA
Karnataka,4.56,7.93,3.77,10.52,12.31,7.29,5.88,5,-4.35,9.39,7.43,5.77
Kerala,5.76,4.15,4.26,7.06,7.36,6.14,7.41,0.41,-10.42,13.28,6.25,NA
Madhya Pradesh,6.87,3.42,3.47,7.55,11.47,3.87,7.63,2.45,-7.22,7.27,5.34,4.83
Maharashtra,4.43,5.37,4.98,6.81,8.79,3.08,2.16,1.01,-10.01,8.22,NA,NA
Manipur,-2.03,6.39,6.42,5.19,1.64,8.61,-6.06,2.41,-9.78,11.59,NA,NA
Meghalaya,0.54,-0.64,-3.77,1.4,4.24,2.43,3.99,3.88,-9.98,4.58,2.88,4.36
Mizoram,4.52,12.17,25.83,7.98,7.89,18.35,1.49,9.85,-11.1,11.66,NA,NA
Nagaland,4.66,5.65,2.99,0.48,5.93,3.98,5.1,4.48,-6.94,-12.49,7.24,NA
Odisha,4.92,6.78,0.28,6.34,14.89,6.95,6.18,1.38,-4.06,9.94,8.51,9.04
Punjab,3.9,4.86,2.75,4.52,5.7,4.73,4.27,2.5,-4.61,4.74,4.6,5
Rajasthan,2.19,4.47,5.64,6.31,4.02,3.09,0.61,3.87,-4.49,8.88,6.46,6.26
Sikkim,1.19,5.2,6.97,7.97,6.3,12.12,3.55,3.3,-4.62,3.93,5.44,NA
Tamil Nadu,4.45,5.07,4.82,8.18,6.33,7.97,6.63,2.12,-0.94,7.72,7.87,7.89
Telangana,1.77,3.57,5.61,10.69,8.23,8.22,11.62,4.43,-8.18,11.13,6.52,6.83
Tripura,7.1,8.21,17.1,-3.72,13.39,7.39,9.72,2.03,-5.79,7.69,7.8,NA
Uttar Pradesh,2.83,3.45,1.58,6.91,10.48,2.26,1.35,1.72,-7.17,9.25,8.9,6.99
Uttarakhand,6.03,6.15,5.38,6.95,9.06,6.65,1.47,0.43,-15.27,9.81,6.57,6.53
West Bengal,3.13,1.24,1.31,5.02,5.87,5.59,6.54,1.98,-9.63,11.98,5.62,7.11
Andaman & Nicobar Islands,3.98,6.57,8.08,7.45,12.97,12.37,5.96,4.75,-9.02,10.98,NA,NA
Chandigarh,6.52,6.66,1.25,6.75,6.67,4.79,4.14,5.34,-12.61,6.17,10.02,NA
Delhi,3.9,4.41,6.46,9.1,4.78,3.56,1.83,1.15,-12.43,6.95,6.11,5.69
Jammu & Kashmir-UT*,2.02,3.71,-5.72,18.86,1.65,5.16,5.43,-1.08,-4.23,5.03,8.02,7.14
Puducherry,-0.38,8.33,-9.31,3.33,4.57,6.64,15.22,-1.48,-10.99,11.14,3.87,NA
