State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,8.43,12.85,13.08,15.1,13.27,14.86,11.14,5.97,5.7,17.36,13.5,10.44
Arunachal Pradesh,13.41,16.22,23.17,3.06,7.53,12.93,12.73,18.51,1.67,13.92,13.96,NA
Assam,9.56,13.31,10.11,16.47,11.59,11.31,9.24,12.13,-2.03,21.09,19.86,14.65
Bihar,14.25,12.3,8.15,8.35,13.31,11.33,12.64,10.2,-2.51,14.64,15.55,NA
Chhattisgarh,12.3,16.52,6.91,1.83,16.72,7.59,15.69,5.37,2.22,16.52,13.12,8.93
Goa,-10.02,-5.77,33.11,15.14,14.39,10.12,3.61,4.42,-1.17,13.63,11.16,NA
Gujarat,17.69,11.47,14.13,11.63,13.43,13.87,12.27,8.38,-0.06,19.34,15.65,NA
Haryana,16.63,15.05,9.49,13.35,13.3,13.79,9.41,5.6,-1.22,19.18,13.25,11.33
Himachal Pradesh,13.89,14.42,9.51,10.09,9.97,10.28,7.1,7.27,-4.75,13.56,11.36,8.19
Jharkhand,15.77,7.92,15.89,-5.45,14.34,14.21,13.3,1.51,-4.4,20.97,9.71,NA
Karnataka,14.75,17.44,11.91,14.36,15.54,10.4,10.96,9.22,1.59,20.51,14.76,10.16
Kerala,13.26,12.79,10.22,9.64,12.97,10.51,12.36,3.13,-5.07,21.1,11.95,NA
Madhya Pradesh,20.71,15.37,9.21,12.74,20.1,11.77,14.25,11.82,2.02,15.46,14.05,9.37
Maharashtra,14,13.02,7.85,10.52,11.8,7.03,7.48,5.08,-1.12,18.29,NA,NA
Manipur,6.42,17.75,12.03,7.73,9.03,21.11,6.2,8.85,-0.12,22.9,NA,NA
Meghalaya,9.81,4.87,1.29,8.1,9.24,7.54,9.04,8.06,-2.86,14.83,10.09,10.97
Mizoram,15.2,23.1,31.24,12.06,13.56,12.76,13.03,14.04,-4.27,16.3,NA,NA
Nagaland,15.97,17.64,10.77,6.1,11.26,12.29,8.75,12.02,0.39,4.04,14.84,NA
Odisha,13.3,13.29,6,4.55,19.56,12.12,13.22,7.8,0.49,22.72,13.62,10.57
Punjab,11.67,11.56,6.91,9.85,9.46,10.31,8.81,4.78,0.71,14.11,9.55,8.91
Rajasthan,13.5,11.65,11.73,10.69,11.61,9.46,9.49,9.71,1.73,17.32,14.44,11.58
Sikkim,10.51,12.35,11.14,17.05,14.71,25.54,9.36,10.7,5.02,13.75,13.84,NA
Tamil Nadu,13.75,13.3,10.75,9.68,10.72,12.47,11.27,6.93,2.58,15.84,14.16,14.19
Telangana,11.73,12.45,12.02,14.24,13.92,13.93,14.32,10.81,-0.74,19.21,16.35,11.92
Tripura,12.78,18.14,15.4,21.68,9.86,10.73,13.97,8.69,-1.19,16.91,16.12,NA
Uttar Pradesh,13.58,14.34,7.6,12.45,13.26,11.73,9.88,7.45,-3.24,20.1,14.3,12.84
Uttarakhand,14.12,13.27,8.29,9.74,10.14,12.86,4.59,3.88,-5.7,18.41,13.71,13.97
West Bengal,13.64,14.44,6.09,11.03,9.44,11.71,13.07,6.99,-3.17,16.42,15.24,11.04
Andaman & Nicobar Islands,11.13,13.6,9.05,10.12,13.33,15.43,14.1,8.46,-4.66,11.39,NA,NA
Chandigarh,15.13,14.87,6.96,10.27,10.77,12.08,10.44,8.18,-9.22,16.95,17.77,NA
Delhi,13.84,13.43,11.45,11.32,11.85,10.03,8.92,7.38,-6.13,18.41,15.13,9.17
Jammu & Kashmir-UT*,11.35,9.74,2.87,19.11,6.55,11.9,14.42,2.65,2.25,15.23,15.97,9.92
Puducherry,12.23,15.87,3.22,17.91,11.11,8.64,6.36,8.28,-2.21,21.09,13.31,NA
