State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,339996,370196,413164,470934,544827,612349,705890,790810,828033,873019,1030465,1167107,1291518
Arunachal Pradesh,10229,11617,13377,16495,16986,18210,20562,23203,27526,27703,31420,35555,NA
Assam,129354,142039,160442,172849,201309,222397,253726,276625,311031,303331,366359,428072,487584
Bihar,228497,261327,292143,315732,340119,386879,431128,483604,532573,514846,589712,681761,NA
Chhattisgarh,142273,159431,186050,197314,200653,232640,252031,294258,308617,311273,365028,412494,447682
Goa,38009,34567,32043,43233,50354,57449,62873,65083,67354,65784,74305,83711,NA
Gujarat,532809,634572,707456,804764,893997,1016683,1166370,1318696,1437478,1438873,1700504,1946334,NA
Haryana,271152,314353,362196,392950,446059,507276,579685,629055,665177,651549,778885,885029,985877
Himachal Pradesh,60536,69432,80129,87345,96851,108359,119704,127257,136692,127683,145182,163062,176164
Jharkhand,137383,160304,172030,200357,187479,216791,247302,280417,282924,267601,325830,360689,NA
Karnataka,554952,635924,746569,825782,950866,1102636,1209019,1345999,1468441,1477657,1790456,2055658,2261867
Kerala,328021,371384,417265,460614,505910,570591,632094,712161,727722,680798,825010,933564,NA
Madhya Pradesh,282371,333937,393115,429027,486034,590669,660761,754909,844809,857265,993235,1137254,1242883
Maharashtra,1126595,1282180,1448720,1553217,1735308,1954774,2081195,2225049,2332194,2277208,2690525,NA,NA
Manipur,11501,12188,14440,16275,17493,19132,23557,24840,27025,26632,32874,NA,NA
Meghalaya,18028,19653,20415,20697,22516,24641,26452,28821,31222,29975,34441,37925,42214
Mizoram,6404,7375,8989,12067,13595,15431,18239,19534,23405,20996,24293,NA,NA
Nagaland,10554,12318,14545,16104,17128,19174,21645,23412,26528,26256,26924,30957,NA
Odisha,204226,233312,260977,274923,283979,342332,387517,439649,472995,470110,579905,670196,749809
Punjab,239227,267116,297908,316745,350011,384197,422638,459218,478916,473356,540097,588712,639252
Rajasthan,395331,446382,494236,551517,610713,682626,748490,819185,899469,905720,1068864,1222507,1366626
Sikkim,9742,10817,12203,13556,15743,18163,22835,24801,27522,27933,31519,35670,NA
Tamil Nadu,674478,768295,858870,957350,1057084,1171973,1317984,1468449,1564831,1598520,1854109,2115510,2417237
Telangana,325139,364030,408282,456280,522994,597812,679427,778391,863908,848736,1017859,1184237,1326022
Tripura,17419,19631,23329,26643,32476,35668,39505,44901,48728,47964,56226,65808,NA
Uttar Pradesh,645132,732995,833825,891798,1009386,1145620,1279619,1397986,1494739,1419588,1715328,1962865,2217055
Uttarakhand,101960,117041,131814,143789,158277,175178,198202,206467,213749,198018,235376,267653,304592
West Bengal,473205,539619,617471,651492,725992,794033,890757,1004420,1072956,1028709,1199587,1378859,1531371
Andaman & Nicobar Islands,3404,3793,4288,4915,5359,6048,7059,8088,8742,8215,9209,NA,NA
Chandigarh,16930,19507,22308,23662,25991,28881,32511,36106,39254,34913,41011,48261,NA
Delhi,314650,357400,404841,448487,500524,558546,613631,665808,712842,657966,782570,911639,997171
Jammu & Kashmir-UT*,65319,72996,79693,81037,98409,104575,117075,132832,135107,135849,156907,181383,200046
Puducherry,15160,16984,19778,20143,24303,27073,29436,31111,33540,32520,39787,44809,NA
