State\UT,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,8.88,11.61,13.98,15.69,12.39,15.28,12.03,4.71,5.43,18.03,13.26,10.66
Arunachal Pradesh,13.57,15.14,23.31,2.98,7.2,12.91,12.85,18.63,0.64,13.42,13.16,NA
Assam,9.81,12.96,7.73,16.47,10.48,14.09,9.02,12.44,-2.48,20.78,16.85,13.9
Bihar,14.37,11.79,8.07,7.72,13.75,11.44,12.17,10.13,-3.33,14.54,15.61,NA
Chhattisgarh,12.06,16.7,6.05,1.69,15.94,8.34,16.75,4.88,0.86,17.27,13,8.53
Goa,-9.05,-7.3,34.92,16.47,14.09,9.44,3.52,3.49,-2.33,12.95,12.66,NA
Gujarat,19.1,11.49,13.75,11.09,13.72,14.72,13.06,9.01,0.1,18.18,14.46,NA
Haryana,15.93,15.22,8.49,13.52,13.72,14.27,8.52,5.74,-2.05,19.54,13.63,11.39
Himachal Pradesh,14.7,15.41,9.01,10.88,11.88,10.47,6.31,7.41,-6.59,13.71,12.32,8.03
Jharkhand,16.68,7.32,16.47,-6.43,15.63,14.07,13.39,0.89,-5.42,21.76,10.7,NA
Karnataka,14.59,17.4,10.61,15.15,15.96,9.65,11.33,9.1,0.63,21.17,14.81,10.03
Kerala,13.22,12.35,10.39,9.83,12.79,10.78,12.67,2.19,-6.45,21.18,13.16,NA
Madhya Pradesh,18.26,17.72,9.14,13.29,21.53,11.87,14.25,11.91,1.47,15.86,14.5,9.29
Maharashtra,13.81,12.99,7.21,11.72,12.65,6.47,6.91,4.82,-2.36,18.15,NA,NA
Manipur,5.97,18.47,12.71,7.48,9.37,23.13,5.45,8.8,-1.45,23.44,NA,NA
Meghalaya,9.01,3.88,1.38,8.79,9.44,7.35,8.96,8.33,-3.99,14.9,10.11,11.31
Mizoram,15.17,21.88,34.24,12.66,13.5,18.2,7.1,19.81,-10.29,15.7,NA,NA
Nagaland,16.71,18.08,10.72,6.36,11.94,12.89,8.16,13.31,-1.03,2.55,14.98,NA
Odisha,14.24,11.86,5.34,3.29,20.55,13.2,13.45,7.58,-0.61,23.35,15.57,11.88
Punjab,11.66,11.53,6.32,10.5,9.77,10.01,8.66,4.29,-1.16,14.1,9,8.58
Rajasthan,12.91,10.72,11.59,10.73,11.78,9.65,9.45,9.8,0.69,18.01,14.37,11.79
Sikkim,11.03,12.82,11.08,16.14,15.37,25.72,8.61,10.97,1.49,12.84,13.17,NA
Tamil Nadu,13.91,11.79,11.47,10.42,10.87,12.46,11.42,6.56,2.15,15.99,14.1,14.26
Telangana,11.96,12.16,11.76,14.62,14.31,13.65,14.57,10.99,-1.76,19.93,16.35,11.97
Tripura,12.7,18.84,14.21,21.89,9.83,10.76,13.66,8.52,-1.57,17.22,17.04,NA
Uttar Pradesh,13.62,13.76,6.95,13.19,13.5,11.7,9.25,6.92,-5.03,20.83,14.43,12.95
Uttarakhand,14.79,12.62,9.08,10.08,10.68,13.14,4.17,3.53,-7.36,18.87,13.71,13.8
West Bengal,14.03,14.43,5.51,11.44,9.37,12.18,12.76,6.82,-4.12,16.61,14.94,11.06
Andaman & Nicobar Islands,11.44,13.05,14.62,9.04,12.86,16.71,14.58,8.08,-6.03,12.1,NA,NA
Chandigarh,15.22,14.36,6.07,9.84,11.12,12.57,11.06,8.72,-11.06,17.47,17.68,NA
Delhi,13.59,13.27,10.78,11.6,11.59,9.86,8.5,7.06,-7.7,18.94,16.49,9.38
Jammu & Kashmir-UT*,11.75,9.17,1.69,21.44,6.27,11.95,13.46,1.71,0.55,15.5,15.6,10.29
Puducherry,12.04,16.45,1.85,20.65,11.4,8.73,5.69,7.81,-3.04,22.35,12.62,NA
