State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,69000,74687,82870,93903,108002,120676,138299,154031,160341,168063,197214,219881,242479
Arunachal Pradesh,73540,82626,94135,114789,116985,124129,138836,155103,182171,181537,204023,228650,NA
Assam,41142,44599,49734,52895,60817,66330,75151,81034,90123,86947,103964,120336,135787
Bihar,21750,24487,26948,28671,30404,34045,36850,40715,44175,42083,47498,54111,NA
Chhattisgarh,55177,60849,69880,72936,72991,83285,88793,102024,106611,106117,122934,137329,147361
Goa,259444,234354,215776,289185,334576,378953,411740,423716,435949,423047,475401,532854,NA
Gujarat,87481,102826,113139,127017,139254,156295,176961,197457,212428,207324,241930,273558,NA
Haryana,106085,121269,137770,147382,164963,184982,208437,223022,232530,224587,264729,296592,325759
Himachal Pradesh,87721,99730,114095,123299,135512,150290,165497,174804,186559,173152,195795,218788,235199
Jharkhand,41254,47360,50006,57301,52754,60018,67484,75421,75016,69963,84059,91874,NA
Karnataka,90263,102319,118829,130024,148108,169898,185840,205245,222141,221781,266866,304474,332926
Kerala,97912,110314,123388,135537,148133,166246,183252,205437,208879,194432,234435,263945,NA
Madhya Pradesh,38497,44773,51849,55678,62080,74324,81966,92337,101909,102007,116689,132010,142565
Maharashtra,99597,112092,125261,132836,146815,163726,172663,182865,189889,183704,215233,NA,NA
Manipur,39762,41230,47798,52717,55447,59345,71507,73795,78574,75784,91560,NA,NA
Meghalaya,59794,64477,66281,66485,71594,77585,82457,88954,95422,90751,103335,112737,124379
Mizoram,57654,65013,77584,103049,114055,127107,155222,164708,195365,173521,198962,NA,NA
Nagaland,53010,61225,71510,78367,82466,91347,102003,109198,122759,119781,121664,138633,NA
Odisha,48387,54762,60687,63345,64835,77507,87055,98005,104633,103203,126437,145202,161437
Punjab,85577,94318,103831,108970,118858,128780,139835,149974,154385,150620,169636,182515,195621
Rajasthan,57192,63658,69480,76429,83426,91924,98698,106604,115534,114850,133960,151559,167614
Sikkim,158667,174183,194624,214148,245987,280729,349163,375773,412627,415045,463509,519964,NA
Tamil Nadu,93112,105340,116960,129494,142028,156595,175276,194373,206165,209628,242253,275583,313955
Telangana,91121,101007,112162,124104,140840,159395,179358,209848,231326,225734,269161,311649,347299
Tripura,47155,52574,61815,69857,84267,91596,100444,113016,121456,118401,137472,159419,NA
Uttar Pradesh,32002,35812,40124,42267,47118,52671,57944,62350,65660,61809,73841,83636,93514
Uttarakhand,100314,113654,126356,136099,147936,161752,180858,186207,190558,174526,205246,230994,260201
West Bengal,51543,58195,65932,68876,75992,82291,91401,103920,110316,105109,121904,139442,154119
Andaman & Nicobar Islands,89100,98777,111087,126344,137064,153904,178709,204254,219653,205368,229080,NA,NA
Chandigarh,158967,180457,203356,212594,230009,252236,280512,307812,330703,290454,337538,393649,NA
Delhi,185001,205568,227900,247209,270261,295558,318323,338730,355798,322311,376217,430120,461910
Jammu & Kashmir-UT*,51775,57279,61907,62327,74950,78960,87710,98738,101868,101645,116530,133743,146447
Puducherry,119649,130548,148147,146921,172727,187356,198357,204140,217937,208862,249764,274902,NA
