,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,7.11693E+11,7.74476E+11,8.00318E+11,8.31394E+11,8.22682E+11,8.50943E+11,8.65729E+11,1.0128E+12,9.99478E+11,9.93329E+11,9.18298E+11,1.06981E+12,1.20333E+12
Australia,8.33789E+11,9.01135E+11,9.44831E+11,1.03593E+12,1.07253E+12,1.07998E+12,1.11684E+12,1.15812E+12,1.21489E+12,1.29142E+12,1.35539E+12,1.45848E+12,1.63621E+12
Brazil,2.71247E+12,2.89429E+12,2.92372E+12,3.09035E+12,3.12776E+12,2.95803E+12,2.87674E+12,2.96227E+12,3.05893E+12,3.15492E+12,3.11037E+12,3.37485E+12,3.71789E+12
Canada,1.33663E+12,1.40378E+12,1.44204E+12,1.53045E+12,1.5952E+12,1.57042E+12,1.65759E+12,1.74331E+12,1.82148E+12,1.87706E+12,1.82448E+12,2.11437E+12,2.36553E+12
China,1.23271E+13,1.37153E+13,1.50894E+13,1.60534E+13,1.7143E+13,1.77118E+13,1.86193E+13,1.9861E+13,2.16442E+13,2.33809E+13,2.40898E+13,2.73274E+13,3.00123E+13
France,2.38831E+12,2.51152E+12,2.5281E+12,2.66695E+12,2.71973E+12,2.7772E+12,2.92469E+12,3.05043E+12,3.19784E+12,3.52705E+12,3.37036E+12,3.7284E+12,3.98408E+12
Germany,3.24876E+12,3.50247E+12,3.5709E+12,3.71258E+12,3.88339E+12,3.97771E+12,4.2685E+12,4.49125E+12,4.73033E+12,5.02146E+12,4.95294E+12,5.35164E+12,5.79941E+12
India,5.17387E+12,5.56897E+12,6.0809E+12,6.39686E+12,6.70084E+12,7.07673E+12,7.64635E+12,8.18743E+12,8.92635E+12,9.44874E+12,8.97892E+12,1.01634E+13,1.16667E+13
Indonesia,2.00243E+12,2.16777E+12,2.34531E+12,2.45927E+12,2.53433E+12,2.55988E+12,2.65703E+12,2.80242E+12,3.02417E+12,3.23093E+12,3.21521E+12,3.48518E+12,3.92721E+12
Italy,2.07933E+12,2.16767E+12,2.16973E+12,2.18359E+12,2.20045E+12,2.22543E+12,2.42762E+12,2.53122E+12,2.62905E+12,2.79769E+12,2.66083E+12,2.98917E+12,3.29718E+12
Japan,4.64594E+12,4.76402E+12,4.93212E+12,5.19431E+12,5.22159E+12,5.40445E+12,5.33842E+12,5.45693E+12,5.54845E+12,5.61619E+12,5.54544E+12,5.83691E+12,6.2343E+12
Mexico,1.7877E+12,1.96011E+12,2.05913E+12,2.08805E+12,2.20082E+12,2.2513E+12,2.39357E+12,2.46426E+12,2.53889E+12,2.56444E+12,2.37489E+12,2.6076E+12,2.97732E+12
Russian Federation,2.83659E+12,3.1631E+12,3.37367E+12,3.61185E+12,3.63932E+12,3.42861E+12,3.44059E+12,3.7054E+12,4.12871E+12,4.27339E+12,4.29244E+12,4.7503E+12,4.97494E+12
Saudi Arabia,1.43057E+12,1.6224E+12,1.71079E+12,1.72692E+12,1.78387E+12,1.61841E+12,1.55985E+12,1.65027E+12,1.72661E+12,1.77276E+12,1.73423E+12,1.88757E+12,2.17991E+12
South Africa,6.48507E+11,6.80231E+11,6.80727E+11,7.12858E+11,7.23516E+11,7.41514E+11,7.52968E+11,7.68263E+11,7.98814E+11,8.17746E+11,7.85647E+11,8.57412E+11,9.33629E+11
South Korea,1.57503E+12,1.63534E+12,1.70218E+12,1.73791E+12,1.80128E+12,1.93964E+12,2.03438E+12,2.11223E+12,2.22939E+12,2.29026E+12,2.36046E+12,2.54282E+12,2.70662E+12
Turkey,1.25792E+12,1.44154E+12,1.53909E+12,1.68834E+12,1.84421E+12,1.99974E+12,2.09406E+12,2.23599E+12,2.27102E+12,2.31372E+12,2.36304E+12,2.62754E+12,3.22861E+12
United Kingdom,2.29121E+12,2.36461E+12,2.41971E+12,2.51679E+12,2.61902E+12,2.70692E+12,2.82443E+12,3.00916E+12,3.08711E+12,3.33251E+12,3.15169E+12,3.56121E+12,3.86768E+12
United States,1.51721E+13,1.585E+13,1.66756E+13,1.71883E+13,1.80431E+13,1.86609E+13,1.90205E+13,1.98856E+13,2.09374E+13,2.17645E+13,2.14724E+13,2.36171E+13,2.59783E+13
