,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,23521.27,24647.629,24118.867,24424.137,23550.1,23933.887,23189.527,23597.117,22747.242,22071.748,19685.217,21527.195
Australia,44965.395,45405.367,46360.605,46744.625,47240.273,47567.68,48109.203,48400.246,49052.816,49379.094,48747.85,49774.34
Brazil,14824.741,15271.47,15425.353,15751.484,15695.644,15011.577,14402.494,14477.861,14619.591,14685.128,14021.958,14592.353
Canada,44861.523,45822.598,46126.516,46704.76,47564.61,47522.14,47457.586,48317.176,48962.48,49171.51,46064.254,47892.945
China,8884.588,9680.098,10370.727,11101.938,11851.404,12612.352,13399.138,14243.532,15133.996,15977.764,16296.779,17602.695
France,42145.684,42862.414,42789.05,42813.934,43021.395,43345.785,43705.15,44577.066,45245.96,45922.793,42233.14,44993.125
Germany,46999.24,49757.926,49872.45,49954.17,50845.527,51159.297,51879.67,53071.457,53431.395,53874.316,51840.33,53179.656
India,4213.363,4374.2324,4551.8623,4780.12,5071.047,5411.8755,5789.678,6112.0664,6436.1533,6608.624,6114.0317,6592.042
Indonesia,8212.635,8610.529,9015.801,9402.108,9759.025,10121.841,10519.295,10941.921,11397.432,11857.789,11515.74,11858.146
Italy,42664.355,42892.305,41501.71,40268.113,39898.527,40247.83,40837.74,41581.12,42045.92,42739.05,39065.28,41929.43
Japan,38069.957,38149.617,38735.895,39569.637,39739.543,40402.582,40727.97,41444.215,41739.203,41697.41,39935.465,40784.383
Mexico,18036.717,18432.37,18838.783,18844.031,19141.92,19542.89,19830.963,20032.408,20278.217,20064.5,18327.99,19086.105
Russia,23961.22,24972.078,25933.293,26332.396,26057.156,25488.096,25490.709,25926.443,26656.41,27254.574,26583.797,27960.102
Saudi Arabia,44339.312,44053.996,45427.574,45674.324,46394.902,47379.355,47210.23,45795.51,45840.84,44954.992,42891.688,44339.312
South Africa,13469.361,13721.686,13864.971,14017.411,13993.2705,13887.211,13844.276,13950.453,13990.314,13852.206,12815.909,13311.926
South Korea,34394.492,35388.977,36049.195,37021.133,37967.477,38828.742,39814.66,40957.418,41965.89,42758.59,42396.76,44232.207
Turkey,19790.068,21716.266,22422.537,23912.732,24600.518,25594.66,25996.967,27582.832,28157.979,28150.059,28473.205,31466.56
United Kingdom,42270.434,42389.145,42705.15,43192.08,44247.03,44948.336,45574.848,46372.387,46878.137,47362.266,41984.105,44978.715
United States,54516.855,54960.906,55803.51,56438.945,57308.32,58427.55,58972.902,59914.777,61355.65,62478.254,60167.855,63669.71
