,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,41100124.00,41520736.00,41952364.00,42388268.00,42824064.00,43257064.00,43668236.00,44054616.00,44413590.00,44745516.00,45036030.00,45276788.00
Australia,22019166.00,22357032.00,22729272.00,23111788.00,23469578.00,23820240.00,24195706.00,24590336.00,24979228.00,25357168.00,25670052.00,25921094.00
Brazil,196353500.00,198185300.00,199977710.00,201721780.00,203459650.00,205188210.00,206859580.00,208504960.00,210166600.00,211782880.00,213196300.00,214326220.00
Canada,33963416.00,34323536.00,34691876.00,35063696.00,35404616.00,35732120.00,36113532.00,36554344.00,37035260.00,37522584.00,37888704.00,38155012.00
China,1348191400.00,1357095400.00,1366560800.00,1376100400.00,1385189600.00,1393715500.00,1401889700.00,1410276000.00,1417069400.00,1421864100.00,1424929800.00,1425893500.00
France,62444570.00,62775270.00,63071412.00,63335180.00,63588496.00,63809770.00,63989320.00,64144092.00,64277812.00,64399760.00,64480052.00,64531450.00
Germany,81325090.00,81423384.00,81545570.00,81680590.00,81858824.00,82073230.00,82331430.00,82624370.00,82896696.00,83148140.00,83328990.00,83408560.00
India,1240613600.00,1257621200.00,1274487200.00,1291132000.00,1307246500.00,1322866600.00,1338636300.00,1354195700.00,1369003300.00,1383112100.00,1396387100.00,1407563900.00
Indonesia,244016180.00,247099700.00,250222690.00,253275920.00,256229760.00,259091970.00,261850180.00,264498850.00,267066850.00,269582880.00,271858000.00,273753180.00
Italy,59822452.00,60025950.00,60190150.00,60312600.00,60322790.00,60232908.00,60118628.00,60004024.00,59877430.00,59727936.00,59500576.00,59240336.00
Japan,128105430.00,128007256.00,127853690.00,127678920.00,127476730.00,127250936.00,126993860.00,126662460.00,126255870.00,125791680.00,125244760.00,124612530.00
Mexico,112532400.00,114150480.00,115755910.00,117290680.00,118755890.00,120149896.00,121519224.00,122839256.00,124013864.00,125085310.00,125998296.00,126705140.00
Russia,143242600.00,143364540.00,143629360.00,143956860.00,144285070.00,144668380.00,145109150.00,145452540.00,145652290.00,145742290.00,145617330.00,145102750.00
Saudi Arabia,29411930.00,30150952.00,30821554.00,31482502.00,32125570.00,32749838.00,33416272.00,34193120.00,35018132.00,35827364.00,35997108.00,35950396.00
South Africa,51784930.00,52443320.00,53145036.00,53873610.00,54729556.00,55876504.00,56422270.00,56641210.00,57339630.00,58087060.00,58801930.00,59392256.00
South Korea,48813036.00,49169880.00,49634188.00,50098228.00,50558044.00,50994396.00,51309984.00,51511640.00,51676900.00,51803830.00,51844690.00,51830136.00
United Kingdom,62760050.00,63286360.00,63808730.00,64302296.00,64773504.00,65224370.00,65655204.00,66064810.00,66432996.00,66778660.00,67059470.00,67281040.00
United States,311182850.00,313876600.00,316651330.00,319375170.00,322033950.00,324607780.00,327210200.00,329791230.00,332140030.00,334319680.00,335942000.00,336997630.00
