S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,379402,380629,407115,444564,498606,540212,594737,626614,649810,659678,722727,764685,820894,0.32,6.96,9.2,12.16,8.34,10.09,5.36,3.7,1.52,9.56,5.81,7.35
2,Arunachal Pradesh,11063,11299,12339,14383,14240,14893,15572,16668,19140,18435,19707,21085,NA,2.14,9.21,16.56,-0.99,4.58,4.56,7.04,14.83,-3.69,6.9,6.99,NA
3,Assam,143175,147342,154525,165212,191109,202081,219919,231040,240707,247819,278835,300799,318559,2.91,4.88,6.92,15.67,5.74,8.83,5.06,4.18,2.95,12.52,7.88,5.9
4,Bihar,247144,256851,269650,279482,296488,318797,344028,381383,398329,368733,399930,442473,NA,3.93,4.98,3.65,6.08,7.52,7.91,10.86,4.44,-7.43,8.46,10.64,NA
5,Chhattisgarh,158074,165977,182580,185813,190584,213705,220136,244579,251549,251192,280609,302119,321945,5,10,1.77,2.57,12.13,3.01,11.1,2.85,-0.14,11.71,7.67,6.56
6,Goa,42367,35850,31568,40116,46091,51249,52653,53063,54812,52534,55342,59867,NA,-15.38,-11.94,27.08,14.89,11.19,2.74,0.78,3.3,-4.16,5.35,8.18,NA
7,Gujarat,615606,682650,734284,811428,894465,981342,1086570,1183020,1265277,1241118,1365922,1475629,NA,10.89,7.56,10.51,10.23,9.71,10.72,8.88,6.95,-1.91,10.06,8.03,NA
8,Haryana,297539,320912,347507,370535,413405,456709,482036,532996,545124,496087,544317,587198,634027,7.86,8.29,6.63,11.57,10.48,5.55,10.57,2.28,-9,9.72,7.88,7.97
9,Himachal Pradesh,72720,77384,82847,89060,96274,103055,109406,116414,121227,115958,124770,133372,142800,6.41,7.06,7.5,8.1,7.04,6.16,6.41,4.13,-4.35,7.6,6.89,7.07
10,Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,231755,219483,243348,259800,NA,8.17,1.57,12.49,-6.25,10.46,9.01,8.87,1.08,-5.3,10.87,6.76,NA
11,Karnataka,606010,643033,704466,748429,831322,941774,1019724,1085101,1151393,1124942,1235377,1335052,1423229,6.11,9.55,6.24,11.08,13.29,8.28,6.41,6.11,-2.3,9.82,8.07,6.6
12,Kerala,364048,387693,402781,419956,451210,485302,516190,554228,559194,511703,578057,616189,NA,6.5,3.89,4.26,7.44,7.56,6.36,7.37,0.9,-8.49,12.97,6.6,NA
13,Madhya Pradesh,315562,351683,365134,383944,418736,470669,497102,543272,567525,541016,584470,622908,660363,11.45,3.82,5.15,9.06,12.4,5.62,9.29,4.46,-4.67,8.03,6.58,6.01
14,Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1888706,1957381,2004663,1858370,2027971,NA,NA,6.06,6.9,6.31,7.2,9.23,4.52,3.64,2.42,-7.3,9.13,NA,NA
15,Manipur,12915,12993,14115,15245,16424,17082,18751,18262,19187,18073,20515,NA,NA,0.61,8.64,8,7.73,4.01,9.77,-2.61,5.06,-5.8,13.51,NA,NA
16,Meghalaya,19918,20354,20726,20140,20638,21730,22564,23719,24923,22967,24267,25209,26524,2.19,1.83,-2.82,2.47,5.29,3.84,5.12,5.08,-7.85,5.66,3.88,5.22
17,Mizoram,7259,7778,9038,11261,12324,13595,14758,16100,17884,16427,18494,NA,NA,7.15,16.21,24.59,9.44,10.32,8.55,9.1,11.08,-8.15,12.58,NA,NA
18,Nagaland,12177,12868,13793,14399,14660,15650,16440,16868,18477,17673,17336,18993,NA,5.68,7.19,4.39,1.82,6.75,5.05,2.6,9.54,-4.35,-1.91,9.56,NA
19,Odisha,230987,243363,265892,270665,292229,337348,361117,386733,397530,389125,430541,464574,503871,5.36,9.26,1.8,7.97,15.44,7.05,7.09,2.79,-2.11,10.64,7.9,8.46
20,Punjab,266628,280823,299450,312125,330052,352721,375406,397019,413295,407264,434261,462053,493283,5.32,6.63,4.23,5.74,6.87,6.43,5.76,4.1,-1.46,6.63,6.4,6.76
21,Rajasthan,434837,454564,486230,521509,563340,596746,628020,643278,678316,665533,727805,784655,842621,4.54,6.97,7.26,8.02,5.93,5.24,2.43,5.45,-1.88,9.36,7.81,7.39
22,Sikkim,11165,11421,12114,13071,14370,15397,17673,18625,19492,19557,20728,22144,NA,2.29,6.07,7.9,9.93,7.15,14.78,5.38,4.66,0.33,5.99,6.83,NA
23,Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1243836,1244650,1343287,1453321,1572601,5.37,7.6,4.92,8.24,7.15,8.59,7.01,3.25,0.07,7.92,8.19,8.21
24,Telangana,359434,370113,389957,416332,464542,507946,557410,608401,640968,602435,669229,715157,767936,2.97,5.36,6.76,11.58,9.34,9.74,9.15,5.35,-6.01,11.09,6.86,7.38
25,Tripura,19208,20873,22819,26965,26787,30538,33093,36754,38063,36404,39487,42997,NA,8.67,9.32,18.17,-0.66,14,8.37,11.06,3.56,-4.36,8.47,8.89,NA
26,Uttar Pradesh,724050,758205,802070,834432,908241,1011500,1056399,1097353,1141630,1092787,1200093,1318027,1423358,4.72,5.79,4.03,8.85,11.37,4.44,3.88,4.03,-4.28,9.82,9.83,7.99
27,Uttarakhand,115328,123710,134182,141278,152699,167703,180956,186083,189740,166786,184274,198341,213378,7.27,8.47,5.29,8.08,9.83,7.9,2.83,1.97,-12.1,10.49,7.63,7.58
28,West Bengal,520485,542191,558535,574364,609545,653416,694981,738920,761794,704045,787439,839805,904088,4.17,3.01,2.83,6.13,7.2,6.36,6.32,3.1,-7.58,11.85,6.65,7.65
29,Andaman & Nicobar Islands,3978,4156,4488,4742,5092,5752,6464,6867,7266,6715,7172,NA,NA,4.48,7.99,5.64,7.39,12.96,12.39,6.23,5.81,-7.58,6.81,NA,NA
30,Chandigarh,18768,20285,22105,22870,24932,26917,28480,29866,31679,28596,30587,33879,NA,8.08,8.97,3.46,9.02,7.96,5.8,4.87,6.07,-9.73,6.96,10.76,NA
31,Delhi,343798,366628,392908,428355,475623,511765,542015,565327,586168,533634,580396,625981,672247,6.64,7.17,9.02,11.03,7.6,5.91,4.3,3.69,-8.96,8.76,7.85,7.39
32,Jammu & Kashmir-UT*,78256,80767,85102,82372,97001,100203,106624,115062,113919,112400,119174,129573,139171,3.21,5.37,-3.21,17.76,3.3,6.41,7.91,-0.99,-1.33,6.03,8.73,7.41
33,Puducherry,16818,17310,19170,18207,19060,20474,22318,26209,26374,24137,27131,28849,NA,2.93,10.74,-5.03,4.69,7.42,9,17.44,0.63,-8.48,12.41,6.33,NA
