S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,339996,341335,360239,397064,446997,477566,526626,558862,571096,576447,636219,672455,723343,0.39,5.54,10.22,12.58,6.84,10.27,6.12,2.19,0.94,10.37,5.7,7.57
2,Arunachal Pradesh,10229,10399,11226,13082,12889,13395,13921,14896,17087,16159,17196,18273,NA,1.66,7.96,16.52,-1.47,3.93,3.93,7,14.71,-5.43,6.42,6.26,NA
3,Assam,129354,132518,138725,146425,167629,179632,195262,204627,212315,219593,246203,264089,288842,2.45,4.68,5.55,14.48,7.16,8.7,4.8,3.76,3.43,12.12,7.26,9.37
4,Bihar,228497,236933,246915,255739,269200,289265,312605,345545,359241,328117,356057,394114,NA,3.69,4.21,3.57,5.26,7.45,8.07,10.54,3.96,-8.66,8.52,10.69,NA
5,Chhattisgarh,142273,148760,163494,165354,168879,187541,194073,217578,222398,218499,245947,263839,279803,4.56,9.9,1.14,2.13,11.05,3.48,12.11,2.22,-1.75,12.56,7.27,6.05
6,Goa,38009,32453,27971,36042,41929,46371,47077,47425,48509,45804,47901,52426,NA,-14.62,-13.81,28.85,16.34,10.59,1.52,0.74,2.29,-5.58,4.58,9.44,NA
7,Gujarat,532809,596659,641489,705629,774775,843930,946511,1034399,1110179,1084653,1198007,1301070,NA,11.98,7.51,10,9.8,8.93,12.16,9.29,7.33,-2.3,10.45,8.6,NA
8,Haryana,271152,289756,314931,333359,372700,412055,434407,478384,488490,437351,480417,519135,561368,6.86,8.69,5.85,11.8,10.56,5.42,10.12,2.11,-10.47,9.85,8.06,8.14
9,Himachal Pradesh,60536,64519,69398,74553,80563,88112,93525,99221,103310,97412,105500,112633,120733,6.58,7.56,7.43,8.06,9.37,6.14,6.09,4.12,-5.71,8.3,6.76,7.19
10,Jharkhand,137383,149526,150609,170568,158231,176363,191573,208701,209913,196845,219234,235685,NA,8.84,0.72,13.25,-7.23,11.46,8.62,8.94,0.58,-6.23,11.37,7.5,NA
11,Karnataka,554952,586552,639940,671284,749943,851394,915657,977301,1034380,997226,1098510,1187557,1263925,5.69,9.1,4.9,11.72,13.53,7.55,6.73,5.84,-3.59,10.16,8.11,6.43
12,Kerala,328021,348616,364707,382134,411150,443615,473182,510787,515453,464052,528323,564164,NA,6.28,4.62,4.78,7.59,7.9,6.66,7.95,0.91,-9.97,13.85,6.78,NA
13,Madhya Pradesh,282371,306853,322598,339247,370716,419465,441956,482398,501137,471343,512117,546005,579234,8.67,5.13,5.16,9.28,13.15,5.36,9.15,3.88,-5.95,8.65,6.62,6.09
14,Maharashtra,1126595,1189711,1267551,1345341,1452513,1596121,1661065,1712999,1746618,1586334,1731189,NA,NA,5.6,6.54,6.14,7.97,9.89,4.07,3.13,1.96,-9.18,9.13,NA,NA
15,Manipur,11501,11515,12519,13615,14635,15201,16870,16193,16945,15620,17810,NA,NA,0.12,8.72,8.75,7.49,3.87,10.98,-4.02,4.64,-7.82,14.02,NA,NA
16,Meghalaya,18028,18323,18397,17893,18330,19295,19964,20968,21997,19990,21096,21905,23063,1.64,0.4,-2.74,2.44,5.26,3.47,5.03,4.91,-9.12,5.53,3.83,5.29
17,Mizoram,6404,6836,7831,9960,10948,12029,13779,14116,15663,14064,15847,NA,NA,6.75,14.55,27.18,9.92,9.88,14.55,2.44,10.96,-10.21,12.68,NA,NA
18,Nagaland,10554,11163,11923,12406,12600,13488,14178,15055,15853,14965,13222,14307,NA,5.77,6.81,4.05,1.56,7.05,5.11,6.19,5.3,-5.6,-11.65,8.2,NA
19,Odisha,204226,216301,233122,235931,253192,293348,316192,338339,345645,334156,369904,403936,443233,5.91,7.78,1.2,7.32,15.86,7.79,7,2.16,-3.32,10.7,9.2,9.73
20,Punjab,239227,251813,267515,278485,294895,315783,335057,353942,367558,355205,376909,399400,424857,5.26,6.24,4.1,5.89,7.08,6.1,5.64,3.85,-3.36,6.11,5.97,6.37
21,Rajasthan,395331,409802,434292,465408,501922,529650,557618,568452,598220,578777,637616,686211,737042,3.66,5.98,7.16,7.85,5.52,5.28,1.94,5.24,-3.25,10.17,7.62,7.41
22,Sikkim,9742,9970,10590,11437,12484,13416,15204,15889,16588,15964,16764,17832,NA,2.34,6.21,8,9.16,7.46,13.33,4.5,4.4,-3.76,5.01,6.37,NA
23,Tamil Nadu,674478,709343,750416,791915,862437,922084,1000308,1071602,1099402,1094122,1182919,1279878,1384921,5.17,5.79,5.53,8.91,6.92,8.48,7.13,2.59,-0.48,8.12,8.2,8.21
24,Telangana,325139,334205,349593,372897,416892,455731,498145,544441,572460,529179,591472,633091,679552,2.79,4.6,6.67,11.8,9.32,9.31,9.29,5.15,-7.56,11.77,7.04,7.34
25,Tripura,17419,18857,20623,24407,23745,27204,29505,32703,33695,32053,34851,37917,NA,8.26,9.36,18.35,-2.71,14.56,8.46,10.84,3.03,-4.87,8.73,8.8,NA
26,Uttar Pradesh,645132,673552,707469,729686,792049,888453,922458,949184,980279,918030,1014396,1116011,1206156,4.41,5.04,3.14,8.55,12.17,3.83,2.9,3.28,-6.35,10.5,10.02,8.08
27,Uttarakhand,101960,109528,117778,125702,136144,150303,162205,166519,169175,144988,160921,173280,186484,7.42,7.53,6.73,8.31,10.4,7.92,2.66,1.6,-14.3,10.99,7.68,7.62
28,West Bengal,473205,492901,503990,515702,546988,584911,623787,659126,676434,615143,692592,735049,791144,4.16,2.25,2.32,6.07,6.93,6.65,5.67,2.63,-9.06,12.59,6.13,7.63
29,Andaman & Nicobar Islands,3404,3558,3811,4151,4483,5091,5750,6108,6430,5880,6558,NA,NA,4.52,7.13,8.92,8,13.55,12.95,6.23,5.28,-8.56,11.54,NA,NA
30,Chandigarh,16930,18305,19813,20353,22058,23842,25289,26654,28414,25143,26985,29957,NA,8.12,8.24,2.72,8.38,8.09,6.07,5.4,6.6,-11.51,7.32,11.02,NA
31,Delhi,314650,334193,356528,387639,431730,461592,487631,506332,522031,465770,507595,548826,590836,6.21,6.68,8.73,11.37,6.92,5.64,3.84,3.1,-10.78,8.98,8.12,7.65
32,Jammu & Kashmir-UT*,65319,67316,70522,67154,80602,82640,87591,93072,90767,87592,92690,100849,108830,3.06,4.76,-4.78,20.03,2.53,5.99,6.26,-2.48,-3.5,5.82,8.8,7.91
33,Puducherry,15160,15507,17239,16055,17025,18284,20024,23693,23572,21226,24136,25652,NA,2.29,11.16,-6.87,6.04,7.4,9.52,18.32,-0.51,-9.95,13.71,6.28,NA
