S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,69000,68865,72254,79174,88609,94115,103177,108853,110587,110971,121762,126690,135806,-0.2,4.92,9.58,11.92,6.21,9.63,5.5,1.59,0.35,9.72,4.05,7.2
2,Arunachal Pradesh,73540,73960,79004,91034,88768,91311,94000,99570,113081,105892,111661,117509,NA,0.57,6.82,15.23,-2.49,2.87,2.94,5.93,13.57,-6.36,5.45,5.24,NA
3,Assam,41142,41609,43002,44809,50642,53575,57835,59943,61519,62944,69867,74239,80440,1.14,3.35,4.2,13.02,5.79,7.95,3.64,2.63,2.32,11,6.26,8.35
4,Bihar,21750,22201,22776,23223,24064,25455,26719,29092,29798,26820,28679,31280,NA,2.08,2.59,1.96,3.62,5.78,4.97,8.88,2.43,-9.99,6.93,9.07,NA
5,Chhattisgarh,55177,56777,61409,61122,61433,67139,68374,75438,76827,74489,82830,87838,92101,2.9,8.16,-0.47,0.51,9.29,1.84,10.33,1.84,-3.04,11.2,6.05,4.85
6,Goa,259444,220019,188358,241081,278601,305875,308296,308753,313973,294562,306471,333709,NA,-15.2,-14.39,27.99,15.56,9.79,0.79,0.15,1.69,-6.18,4.04,8.89,NA
7,Gujarat,87481,96683,102589,111370,120683,129738,143604,154887,164060,156285,170440,182865,NA,10.52,6.11,8.56,8.36,7.5,10.69,7.86,5.92,-4.74,9.06,7.29,NA
8,Haryana,106085,111780,119791,125032,137833,150259,156200,169604,170765,150754,163285,173973,185490,5.37,7.17,4.37,10.24,9.02,3.95,8.58,0.68,-11.72,8.31,6.55,6.62
9,Himachal Pradesh,87721,92672,98816,105241,112723,122208,129303,136292,140999,132102,142279,151124,161192,5.64,6.63,6.5,7.11,8.41,5.81,5.41,3.45,-6.31,7.7,6.22,6.66
10,Jharkhand,41254,44176,43779,48781,44524,48826,52277,56133,55658,51464,56559,60033,NA,7.08,-0.9,11.43,-8.73,9.66,7.07,7.38,-0.85,-7.53,9.9,6.14,NA
11,Karnataka,90263,94375,101858,105697,116812,131186,140747,149024,156478,149673,163732,175895,186038,4.56,7.93,3.77,10.52,12.31,7.29,5.88,5,-4.35,9.39,7.43,5.77
12,Kerala,97912,103551,107846,112444,120387,129251,137181,147347,147951,132531,150128,159505,NA,5.76,4.15,4.26,7.06,7.36,6.14,7.41,0.41,-10.42,13.28,6.25,NA
