S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,379402,411404,464272,524976,604229,684416,786135,873721,925839,978581,1148471,1303524,1439674,8.43,12.85,13.08,15.1,13.27,14.86,11.14,5.97,5.7,17.36,13.5,10.44
2,Arunachal Pradesh,11063,12547,14581,17959,18509,19902,22475,25335,30024,30525,34775,39630,NA,13.41,16.22,23.17,3.06,7.53,12.93,12.73,18.51,1.67,13.92,13.96,NA
3,Assam,143175,156864,177745,195723,227959,254382,283165,309336,346851,339803,411454,493167,565401,9.56,13.31,10.11,16.47,11.59,11.31,9.24,12.13,-2.03,21.09,19.86,14.65
4,Bihar,247144,282368,317101,342951,371602,421051,468746,527976,581855,567263,650302,751396,NA,14.25,12.3,8.15,8.35,13.31,11.33,12.64,10.2,-2.51,14.64,15.55,NA
5,Chhattisgarh,158074,177511,206833,221118,225163,262802,282737,327107,344672,352328,410525,464399,505887,12.3,16.52,6.91,1.83,16.72,7.59,15.69,5.37,2.22,16.52,13.12,8.93
6,Goa,42367,38120,35921,47814,55054,62976,69352,71853,75032,74158,84266,93672,NA,-10.02,-5.77,33.11,15.14,14.39,10.12,3.61,4.42,-1.17,13.63,11.16,NA
7,Gujarat,615606,724495,807623,921773,1029010,1167156,1329095,1492156,1617143,1616106,1928683,2230609,NA,17.69,11.47,14.13,11.63,13.43,13.87,12.27,8.38,-0.06,19.34,15.65,NA
8,Haryana,297539,347032,399268,437145,495504,561424,638832,698940,738052,729079,868905,984055,1095535,16.63,15.05,9.49,13.35,13.3,13.79,9.41,5.6,-1.22,19.18,13.25,11.33
9,Himachal Pradesh,72720,82820,94764,103772,114239,125634,138551,148383,159164,151601,172162,191728,207430,13.89,14.42,9.51,10.09,9.97,10.28,7.1,7.27,-4.75,13.56,11.36,8.19
10,Jharkhand,150918,174724,188567,218525,206613,236250,269816,305695,310305,296664,358863,393722,NA,15.77,7.92,15.89,-5.45,14.34,14.21,13.3,1.51,-4.4,20.97,9.71,NA
11,Karnataka,606010,695413,816666,913923,1045168,1207608,1333240,1479391,1615827,1641460,1978094,2269995,2500733,14.75,17.44,11.91,14.36,15.54,10.4,10.96,9.22,1.59,20.51,14.76,10.16
12,Kerala,364048,412313,465041,512564,561994,634886,701588,788286,812935,771724,934542,1046188,NA,13.26,12.79,10.22,9.64,12.97,10.51,12.36,3.13,-5.07,21.1,11.95,NA
13,Madhya Pradesh,315562,380925,439483,479939,541068,649823,726284,829805,927855,946628,1092964,1246471,1363327,20.71,15.37,9.21,12.74,20.1,11.77,14.25,11.82,2.02,15.46,14.05,9.37
14,Maharashtra,1280369,1459629,1649647,1779138,1966225,2198185,2352782,2528854,2657371,2627542,3108022,NA,NA,14,13.02,7.85,10.52,11.8,7.03,7.48,5.08,-1.12,18.29,NA,NA
15,Manipur,12915,13743,16182,18129,19531,21294,25789,27388,29813,29776,36594,NA,NA,6.42,17.75,12.03,7.73,9.03,21.11,6.2,8.85,-0.12,22.9,NA,NA
16,Meghalaya,19918,21872,22938,23235,25117,27439,29508,32176,34770,33776,38785,42697,47381,9.81,4.87,1.29,8.1,9.24,7.54,9.04,8.06,-2.86,14.83,10.09,10.97
17,Mizoram,7259,8362,10293,13509,15139,17192,19385,21912,24990,23923,27824,NA,NA,15.2,23.1,31.24,12.06,13.56,12.76,13.03,14.04,-4.27,16.3,NA,NA
18,Nagaland,12177,14121,16612,18401,19524,21722,24393,26527,29716,29832,31038,35643,NA,15.97,17.64,10.77,6.1,11.26,12.29,8.75,12.02,0.39,4.04,14.84,NA
19,Odisha,230987,261700,296475,314250,328550,392804,440395,498611,537502,540150,662886,753177,832790,13.3,13.29,6,4.55,19.56,12.12,13.22,7.8,0.49,22.72,13.62,10.57
20,Punjab,266628,297734,332147,355102,390087,426988,471014,512510,537031,540853,617192,676164,736423,11.67,11.56,6.91,9.85,9.46,10.31,8.81,4.78,0.71,14.11,9.55,8.91
21,Rajasthan,434837,493551,551031,615642,681482,760587,832529,911519,1000032,1017329,1193489,1365849,1524030,13.5,11.65,11.73,10.69,11.61,9.46,9.49,9.71,1.73,17.32,14.44,11.58
22,Sikkim,11165,12338,13862,15407,18034,20687,25971,28402,31441,33018,37557,42756,NA,10.51,12.35,11.14,17.05,14.71,25.54,9.36,10.7,5.02,13.75,13.84,NA
23,Tamil Nadu,751486,854825,968530,1072678,1176500,1302639,1465051,1630209,1743144,1788074,2071286,2364514,2700109,13.75,13.3,10.75,9.68,10.72,12.47,11.27,6.93,2.58,15.84,14.16,14.19
24,Telangana,359434,401594,451580,505849,577902,658325,750050,857427,950090,943078,1124204,1308034,1463960,11.73,12.45,12.02,14.24,13.92,13.93,14.32,10.81,-0.74,19.21,16.35,11.92
25,Tripura,19208,21663,25593,29533,35938,39479,43716,49823,54151,53504,62550,72636,NA,12.78,18.14,15.4,21.68,9.86,10.73,13.97,8.69,-1.19,16.91,16.12,NA
26,Uttar Pradesh,724050,822393,940356,1011790,1137808,1288700,1439925,1582180,1700062,1644946,1975595,2258040,2547861,13.58,14.34,7.6,12.45,13.26,11.73,9.88,7.45,-3.24,20.1,14.3,12.84
27,Uttarakhand,115328,131613,149074,161439,177163,195125,220222,230327,239263,225617,267143,303781,346206,14.12,13.27,8.29,9.74,10.14,12.86,4.59,3.88,-5.7,18.41,13.71,13.97
28,West Bengal,520485,591465,676849,718082,797300,872527,974700,1102054,1179127,1141802,1329238,1531758,1700939,13.64,14.44,6.09,11.03,9.44,11.71,13.07,6.99,-3.17,16.42,15.24,11.04
29,Andaman & Nicobar Islands,3978,4421,5023,5477,6032,6836,7890,9003,9765,9310,10371,NA,NA,11.13,13.6,9.05,10.12,13.33,15.43,14.1,8.46,-4.66,11.39,NA,NA
30,Chandigarh,18768,21609,24822,26549,29275,32427,36344,40139,43421,39416,46096,54285,NA,15.13,14.87,6.96,10.27,10.77,12.08,10.44,8.18,-9.22,16.95,17.77,NA
31,Delhi,343798,391388,443960,494803,550804,616085,677900,738389,792911,744277,881336,1014688,1107746,13.84,13.43,11.45,11.32,11.85,10.03,8.92,7.38,-6.13,18.41,15.13,9.17
32,Jammu & Kashmir-UT*,78256,87138,95621,98367,117168,124848,139709,159859,164103,167793,193352,224226,246465,11.35,9.74,2.87,19.11,6.55,11.9,14.42,2.65,2.25,15.23,15.97,9.92
33,Puducherry,16818,18875,21870,22574,26617,29573,32129,34171,36999,36180,43810,49643,NA,12.23,15.87,3.22,17.91,11.11,8.64,6.36,8.28,-2.21,21.09,13.31,NA
