S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,339996,370196,413164,470934,544827,612349,705890,790810,828033,873019,1030465,1167107,1291518,8.88,11.61,13.98,15.69,12.39,15.28,12.03,4.71,5.43,18.03,13.26,10.66
2,Arunachal Pradesh,10229,11617,13377,16495,16986,18210,20562,23203,27526,27703,31420,35555,NA,13.57,15.14,23.31,2.98,7.2,12.91,12.85,18.63,0.64,13.42,13.16,NA
3,Assam,129354,142039,160442,172849,201309,222397,253726,276625,311031,303331,366359,428072,487584,9.81,12.96,7.73,16.47,10.48,14.09,9.02,12.44,-2.48,20.78,16.85,13.9
4,Bihar,228497,261327,292143,315732,340119,386879,431128,483604,532573,514846,589712,681761,NA,14.37,11.79,8.07,7.72,13.75,11.44,12.17,10.13,-3.33,14.54,15.61,NA
5,Chhattisgarh,142273,159431,186050,197314,200653,232640,252031,294258,308617,311273,365028,412494,447682,12.06,16.7,6.05,1.69,15.94,8.34,16.75,4.88,0.86,17.27,13,8.53
6,Goa,38009,34567,32043,43233,50354,57449,62873,65083,67354,65784,74305,83711,NA,-9.05,-7.3,34.92,16.47,14.09,9.44,3.52,3.49,-2.33,12.95,12.66,NA
7,Gujarat,532809,634572,707456,804764,893997,1016683,1166370,1318696,1437478,1438873,1700504,1946334,NA,19.1,11.49,13.75,11.09,13.72,14.72,13.06,9.01,0.1,18.18,14.46,NA
8,Haryana,271152,314353,362196,392950,446059,507276,579685,629055,665177,651549,778885,885029,985877,15.93,15.22,8.49,13.52,13.72,14.27,8.52,5.74,-2.05,19.54,13.63,11.39
9,Himachal Pradesh,60536,69432,80129,87345,96851,108359,119704,127257,136692,127683,145182,163062,176164,14.7,15.41,9.01,10.88,11.88,10.47,6.31,7.41,-6.59,13.71,12.32,8.03
10,Jharkhand,137383,160304,172030,200357,187479,216791,247302,280417,282924,267601,325830,360689,NA,16.68,7.32,16.47,-6.43,15.63,14.07,13.39,0.89,-5.42,21.76,10.7,NA
11,Karnataka,554952,635924,746569,825782,950866,1102636,1209019,1345999,1468441,1477657,1790456,2055658,2261867,14.59,17.4,10.61,15.15,15.96,9.65,11.33,9.1,0.63,21.17,14.81,10.03
12,Kerala,328021,371384,417265,460614,505910,570591,632094,712161,727722,680798,825010,933564,NA,13.22,12.35,10.39,9.83,12.79,10.78,12.67,2.19,-6.45,21.18,13.16,NA
13,Madhya Pradesh,282371,333937,393115,429027,486034,590669,660761,754909,844809,857265,993235,1137254,1242883,18.26,17.72,9.14,13.29,21.53,11.87,14.25,11.91,1.47,15.86,14.5,9.29
14,Maharashtra,1126595,1282180,1448720,1553217,1735308,1954774,2081195,2225049,2332194,2277208,2690525,NA,NA,13.81,12.99,7.21,11.72,12.65,6.47,6.91,4.82,-2.36,18.15,NA,NA
15,Manipur,11501,12188,14440,16275,17493,19132,23557,24840,27025,26632,32874,NA,NA,5.97,18.47,12.71,7.48,9.37,23.13,5.45,8.8,-1.45,23.44,NA,NA
16,Meghalaya,18028,19653,20415,20697,22516,24641,26452,28821,31222,29975,34441,37925,42214,9.01,3.88,1.38,8.79,9.44,7.35,8.96,8.33,-3.99,14.9,10.11,11.31
17,Mizoram,6404,7375,8989,12067,13595,15431,18239,19534,23405,20996,24293,NA,NA,15.17,21.88,34.24,12.66,13.5,18.2,7.1,19.81,-10.29,15.7,NA,NA
18,Nagaland,10554,12318,14545,16104,17128,19174,21645,23412,26528,26256,26924,30957,NA,16.71,18.08,10.72,6.36,11.94,12.89,8.16,13.31,-1.03,2.55,14.98,NA
19,Odisha,204226,233312,260977,274923,283979,342332,387517,439649,472995,470110,579905,670196,749809,14.24,11.86,5.34,3.29,20.55,13.2,13.45,7.58,-0.61,23.35,15.57,11.88
20,Punjab,239227,267116,297908,316745,350011,384197,422638,459218,478916,473356,540097,588712,639252,11.66,11.53,6.32,10.5,9.77,10.01,8.66,4.29,-1.16,14.1,9,8.58
21,Rajasthan,395331,446382,494236,551517,610713,682626,748490,819185,899469,905720,1068864,1222507,1366626,12.91,10.72,11.59,10.73,11.78,9.65,9.45,9.8,0.69,18.01,14.37,11.79
22,Sikkim,9742,10817,12203,13556,15743,18163,22835,24801,27522,27933,31519,35670,NA,11.03,12.82,11.08,16.14,15.37,25.72,8.61,10.97,1.49,12.84,13.17,NA
23,Tamil Nadu,674478,768295,858870,957350,1057084,1171973,1317984,1468449,1564831,1598520,1854109,2115510,2417237,13.91,11.79,11.47,10.42,10.87,12.46,11.42,6.56,2.15,15.99,14.1,14.26
24,Telangana,325139,364030,408282,456280,522994,597812,679427,778391,863908,848736,1017859,1184237,1326022,11.96,12.16,11.76,14.62,14.31,13.65,14.57,10.99,-1.76,19.93,16.35,11.97
25,Tripura,17419,19631,23329,26643,32476,35668,39505,44901,48728,47964,56226,65808,NA,12.7,18.84,14.21,21.89,9.83,10.76,13.66,8.52,-1.57,17.22,17.04,NA
26,Uttar Pradesh,645132,732995,833825,891798,1009386,1145620,1279619,1397986,1494739,1419588,1715328,1962865,2217055,13.62,13.76,6.95,13.19,13.5,11.7,9.25,6.92,-5.03,20.83,14.43,12.95
27,Uttarakhand,101960,117041,131814,143789,158277,175178,198202,206467,213749,198018,235376,267653,304592,14.79,12.62,9.08,10.08,10.68,13.14,4.17,3.53,-7.36,18.87,13.71,13.8
28,West Bengal,473205,539619,617471,651492,725992,794033,890757,1004420,1072956,1028709,1199587,1378859,1531371,14.03,14.43,5.51,11.44,9.37,12.18,12.76,6.82,-4.12,16.61,14.94,11.06
29,Andaman & Nicobar Islands,3404,3793,4288,4915,5359,6048,7059,8088,8742,8215,9209,NA,NA,11.44,13.05,14.62,9.04,12.86,16.71,14.58,8.08,-6.03,12.1,NA,NA
30,Chandigarh,16930,19507,22308,23662,25991,28881,32511,36106,39254,34913,41011,48261,NA,15.22,14.36,6.07,9.84,11.12,12.57,11.06,8.72,-11.06,17.47,17.68,NA
31,Delhi,314650,357400,404841,448487,500524,558546,613631,665808,712842,657966,782570,911639,997171,13.59,13.27,10.78,11.6,11.59,9.86,8.5,7.06,-7.7,18.94,16.49,9.38
32,Jammu & Kashmir-UT*,65319,72996,79693,81037,98409,104575,117075,132832,135107,135849,156907,181383,200046,11.75,9.17,1.69,21.44,6.27,11.95,13.46,1.71,0.55,15.5,15.6,10.29
33,Puducherry,15160,16984,19778,20143,24303,27073,29436,31111,33540,32520,39787,44809,NA,12.04,16.45,1.85,20.65,11.4,8.73,5.69,7.81,-3.04,22.35,12.62,NA
