S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,69000,74687,82870,93903,108002,120676,138299,154031,160341,168063,197214,219881,242479,8.24,10.96,13.31,15.01,11.74,14.6,11.38,4.1,4.82,17.35,11.49,10.28
2,Arunachal Pradesh,73540,82626,94135,114789,116985,124129,138836,155103,182171,181537,204023,228650,NA,12.35,13.93,21.94,1.91,6.11,11.85,11.72,17.45,-0.35,12.39,12.07,NA
3,Assam,41142,44599,49734,52895,60817,66330,75151,81034,90123,86947,103964,120336,135787,8.4,11.51,6.36,14.98,9.07,13.3,7.83,11.22,-3.52,19.57,15.75,12.84
4,Bihar,21750,24487,26948,28671,30404,34045,36850,40715,44175,42083,47498,54111,NA,12.59,10.05,6.39,6.05,11.98,8.24,10.49,8.5,-4.74,12.87,13.92,NA
5,Chhattisgarh,55177,60849,69880,72936,72991,83285,88793,102024,106611,106117,122934,137329,147361,10.28,14.84,4.37,0.08,14.1,6.61,14.9,4.5,-0.46,15.85,11.71,7.31
6,Goa,259444,234354,215776,289185,334576,378953,411740,423716,435949,423047,475401,532854,NA,-9.67,-7.93,34.02,15.7,13.26,8.65,2.91,2.89,-2.96,12.38,12.09,NA
7,Gujarat,87481,102826,113139,127017,139254,156295,176961,197457,212428,207324,241930,273558,NA,17.54,10.03,12.27,9.63,12.24,13.22,11.58,7.58,-2.4,16.69,13.07,NA
8,Haryana,106085,121269,137770,147382,164963,184982,208437,223022,232530,224587,264729,296592,325759,14.31,13.61,6.98,11.93,12.14,12.68,7,4.26,-3.42,17.87,12.04,9.83
9,Himachal Pradesh,87721,99730,114095,123299,135512,150290,165497,174804,186559,173152,195795,218788,235199,13.69,14.4,8.07,9.9,10.91,10.12,5.62,6.72,-7.19,13.08,11.74,7.5
10,Jharkhand,41254,47360,50006,57301,52754,60018,67484,75421,75016,69963,84059,91874,NA,14.8,5.59,14.59,-7.93,13.77,12.44,11.76,-0.54,-6.74,20.15,9.3,NA
11,Karnataka,90263,102319,118829,130024,148108,169898,185840,205245,222141,221781,266866,304474,332926,13.36,16.14,9.42,13.91,14.71,9.38,10.44,8.23,-0.16,20.33,14.09,9.34
12,Kerala,97912,110314,123388,135537,148133,166246,183252,205437,208879,194432,234435,263945,NA,12.67,11.85,9.85,9.29,12.23,10.23,12.11,1.68,-6.92,20.57,12.59,NA
13,Madhya Pradesh,38497,44773,51849,55678,62080,74324,81966,92337,101909,102007,116689,132010,142565,16.3,15.8,7.38,11.5,19.72,10.28,12.65,10.37,0.1,14.39,13.13,8
14,Maharashtra,99597,112092,125261,132836,146815,163726,172663,182865,189889,183704,215233,NA,NA,12.55,11.75,6.05,10.52,11.52,5.46,5.91,3.84,-3.26,17.16,NA,NA
15,Manipur,39762,41230,47798,52717,55447,59345,71507,73795,78574,75784,91560,NA,NA,3.69,15.93,10.29,5.18,7.03,20.49,3.2,6.48,-3.55,20.82,NA,NA
16,Meghalaya,59794,64477,66281,66485,71594,77585,82457,88954,95422,90751,103335,112737,124379,7.83,2.8,0.31,7.68,8.37,6.28,7.88,7.27,-4.9,13.87,9.1,10.33
17,Mizoram,57654,65013,77584,103049,114055,127107,155222,164708,195365,173521,198962,NA,NA,12.76,19.34,32.82,10.68,11.44,22.12,6.11,18.61,-11.18,14.66,NA,NA
18,Nagaland,53010,61225,71510,78367,82466,91347,102003,109198,122759,119781,121664,138633,NA,15.5,16.8,9.59,5.23,10.77,11.67,7.05,12.42,-2.43,1.57,13.95,NA
19,Odisha,48387,54762,60687,63345,64835,77507,87055,98005,104633,103203,126437,145202,161437,13.18,10.82,4.38,2.35,19.54,12.32,12.58,6.76,-1.37,22.51,14.84,11.18
20,Punjab,85577,94318,103831,108970,118858,128780,139835,149974,154385,150620,169636,182515,195621,10.22,10.09,4.95,9.07,8.35,8.58,7.25,2.94,-2.44,12.62,7.59,7.18
21,Rajasthan,57192,63658,69480,76429,83426,91924,98698,106604,115534,114850,133960,151559,167614,11.31,9.15,10,9.16,10.19,7.37,8.01,8.38,-0.59,16.64,13.14,10.59
22,Sikkim,158667,174183,194624,214148,245987,280729,349163,375773,412627,415045,463509,519964,NA,9.78,11.74,10.03,14.87,14.12,24.38,7.62,9.81,0.59,11.68,12.18,NA
23,Tamil Nadu,93112,105340,116960,129494,142028,156595,175276,194373,206165,209628,242253,275583,313955,13.13,11.03,10.72,9.68,10.26,11.93,10.9,6.07,1.68,15.56,13.76,13.92
24,Telangana,91121,101007,112162,124104,140840,159395,179358,209848,231326,225734,269161,311649,347299,10.85,11.04,10.65,13.49,13.17,12.52,17,10.23,-2.42,19.24,15.79,11.44
25,Tripura,47155,52574,61815,69857,84267,91596,100444,113016,121456,118401,137472,159419,NA,11.49,17.58,13.01,20.63,8.7,9.66,12.52,7.47,-2.52,16.11,15.96,NA
26,Uttar Pradesh,32002,35812,40124,42267,47118,52671,57944,62350,65660,61809,73841,83636,93514,11.91,12.04,5.34,11.48,11.79,10.01,7.6,5.31,-5.86,19.47,13.27,11.81
